Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Droitwich and Evesham;Nigel Huddleston;7;Hereford and Worcestershire;76624;20199;3810;2951;19319;2749;0;0;2001;0.464;0.006;0.003;0.524;0.001;0.000;0.000;0.000
Dudley;Unknown (Reform gain from LAB);7;Black Country;70151;7382;5740;2927;15552;3912;0;1294;1040;0.093;0.018;0.003;0.884;0.001;0.000;0.000;0.000
Dulwich and West Norwood;Unknown (Green gain from LAB);11;Lambeth;74265;3549;15423;3286;6772;16622;0;0;1220;0.001;0.422;0.000;0.010;0.566;0.000;0.000;0.000
Dunstable and Leighton Buzzard;Unknown (CON gain from LAB);9;Bedfordshire;76742;19316;4291;2702;16654;2692;0;0;1799;0.495;0.025;0.005;0.474;0.001;0.000;0.000;0.000
Durham North;Unknown (Reform gain from LAB);3;Durham;73235;1852;15622;1198;17279;1952;0;2170;425;0.003;0.292;0.002;0.694;0.009;0.000;0.000;0.000
Durham, City of;Unknown (Reform gain from LAB);3;Durham;70582;4424;10753;5201;11537;9160;0;0;1469;0.008;0.405;0.011;0.391;0.184;0.000;0.000;0.000
Ealing Central and Acton;Unknown (Green gain from LAB);11;Ealing;78436;6733;12454;5127;7240;13068;0;3120;647;0.039;0.412;0.012;0.061;0.475;0.000;0.000;0.000
Ealing North;James Murray;11;Ealing;74820;5935;10732;2616;8590;9005;0;4190;506;0.047;0.493;0.002;0.218;0.238;0.000;0.000;0.000
Ealing Southall;Deirdre Costigan;11;Ealing;78669;5803;11975;3118;6999;10297;0;4200;1322;0.039;0.541;0.004;0.082;0.331;0.000;0.002;0.000
Earley and Woodley;Unknown (CON gain from LAB);12;Berkshire;73548;13166;9475;6501;8336;6488;0;0;1400;0.631;0.161;0.049;0.113;0.046;0.000;0.000;0.000
Easington;Unknown (Reform gain from LAB);3;Durham;69411;1045;13640;532;16022;1296;0;0;1598;0.000;0.302;0.000;0.696;0.001;0.000;0.000;0.000
East Grinstead and Uckfield;Mims Davies;12;West Sussex;75385;14128;6396;8202;12805;6254;0;0;2721;0.460;0.038;0.126;0.335;0.038;0.000;0.000;0.002
East Ham;Unknown (Green gain from LAB);11;Newham;79086;3028;8670;1935;5175;10733;0;0;4241;0.005;0.300;0.000;0.029;0.643;0.000;0.000;0.021
Eastbourne;Josh Babarinde;12;East Sussex;72592;8853;3497;16834;10034;4183;0;0;2098;0.061;0.001;0.858;0.077;0.003;0.000;0.000;0.000
Eastleigh;Unknown (CON gain from LIB);12;Hampshire;69965;12789;4551;11024;12124;4154;0;0;1639;0.442;0.005;0.240;0.308;0.005;0.000;0.000;0.000
Edmonton and Winchmore Hill;Kate Osamor;11;Enfield;75792;5683;11089;3171;8885;8972;0;1113;1768;0.048;0.519;0.003;0.195;0.233;0.000;0.000;0.000
Ellesmere Port and Bromborough;Justin Madders;4;Cheshire;70799;1484;21097;804;16131;2531;0;0;1677;0.001;0.598;0.000;0.347;0.054;0.000;0.000;0.000
Eltham and Chislehurst;Clive Efford;11;Greenwich;74224;9111;11094;3702;10898;7197;0;1492;1228;0.182;0.405;0.003;0.332;0.077;0.000;0.000;0.000
Ely and East Cambridgeshire;Unknown (CON gain from LIB);9;Cambridgeshire;79112;14410;6450;12150;12928;4646;0;0;2218;0.475;0.015;0.225;0.277;0.007;0.000;0.000;0.000
Enfield North;Feryal Clark;11;Enfield;78770;6626;11449;3375;8858;8781;0;1345;1497;0.061;0.539;0.004;0.177;0.218;0.000;0.000;0.001
Epping Forest;Neil Hudson;9;Essex;72229;19497;3799;2801;12797;2582;0;0;2214;0.724;0.033;0.017;0.221;0.004;0.000;0.000;0.000
Epsom and Ewell;Unknown (CON gain from LIB);12;Surrey;77530;14435;5742;13485;13610;4376;0;0;1741;0.396;0.006;0.300;0.294;0.003;0.000;0.000;0.000
Erewash;Unknown (Reform gain from LAB);8;Derbyshire;71497;8020;10262;3478;12967;5883;0;0;1802;0.118;0.318;0.002;0.528;0.033;0.000;0.000;0.000
Erith and Thamesmead;Abena Oppong-Asare;11;Greenwich;78886;4840;11188;2133;10532;8881;0;3175;304;0.009;0.475;0.000;0.343;0.172;0.000;0.000;0.000
Esher and Walton;Monica Harding;12;Surrey;74042;12216;3282;22482;10248;4757;0;0;1179;0.057;0.001;0.915;0.025;0.001;0.000;0.000;0.000
Essex North West;Kemi Badenoch;9;Essex;79824;19643;6323;4365;17619;3326;0;0;1922;0.480;0.051;0.014;0.451;0.003;0.000;0.000;0.000
Exeter;Unknown (Green gain from LAB);10;Devon;67840;4608;10062;3929;11486;11769;0;0;2124;0.010;0.209;0.009;0.332;0.439;0.000;0.000;0.000
Exmouth and Exeter East;Unknown (Reform gain from CON);10;Devon;79983;11052;8314;10942;14773;6188;0;0;1832;0.213;0.051;0.206;0.511;0.018;0.000;0.000;0.000
Fareham and Waterlooville;Suella Braverman;12;Hampshire;77691;18851;4609;5196;17029;2648;0;0;2074;0.475;0.013;0.044;0.468;0.000;0.000;0.000;0.000
Farnham and Bordon;Unknown (Reform gain from CON);12;Surrey;75918;13623;5222;13442;14573;4005;0;0;1416;0.307;0.005;0.302;0.384;0.001;0.000;0.000;0.000
Faversham and Mid Kent;Unknown (Reform gain from CON);12;Kent;74301;17717;4236;2185;18679;3296;0;0;2109;0.345;0.012;0.003;0.636;0.002;0.000;0.000;0.000
Feltham and Heston;Unknown (Reform gain from LAB);11;Hounslow;76983;6709;7950;2542;8098;6386;0;2475;1650;0.176;0.362;0.004;0.292;0.162;0.000;0.000;0.003
Filton and Bradley Stoke;Claire Hazelgrove;10;Bristol area;77584;10153;13303;5314;10550;8787;0;0;2320;0.199;0.482;0.018;0.208;0.092;0.000;0.000;0.000
Finchley and Golders Green;Sarah Sackman;11;Barnet;77500;11971;12174;4737;9446;7320;0;0;1600;0.369;0.417;0.007;0.152;0.054;0.000;0.000;0.000
Folkestone and Hythe;Unknown (Reform gain from LAB);12;Kent;70056;7611;8418;3451;16066;6343;0;0;2630;0.085;0.100;0.004;0.781;0.028;0.000;0.000;0.001
Forest of Dean;Unknown (Reform gain from LAB);10;Gloucestershire;72052;11053;8674;3563;18097;6066;0;0;1985;0.215;0.039;0.003;0.733;0.008;0.000;0.000;0.000
Frome and East Somerset;Anna Sabine;10;Somerset;70378;4555;2668;19548;14448;4228;0;0;2529;0.107;0.013;0.518;0.296;0.065;0.000;0.000;0.000
Fylde;Andrew Snowden;4;Lancashire;77100;15587;8338;3085;15301;3253;0;0;2849;0.473;0.115;0.002;0.405;0.003;0.000;0.000;0.001
Gainsborough;Sir Edward Leigh;8;Lincolnshire;75836;18722;4004;2672;17624;2186;0;0;1276;0.446;0.010;0.001;0.542;0.000;0.000;0.000;0.000
Gateshead Central and Whickham;Mark Ferguson;3;Newcastle area;69823;3061;14400;2945;14350;4838;0;0;1887;0.010;0.435;0.006;0.487;0.062;0.000;0.000;0.000
Gedling;Michael Payne;8;Nottinghamshire;77006;5770;17674;2218;15072;4780;0;0;1537;0.092;0.549;0.001;0.308;0.050;0.000;0.000;0.000
Gillingham and Rainham;Unknown (Reform gain from LAB);12;Kent;73523;8683;8166;4269;14272;5711;0;0;1888;0.180;0.097;0.009;0.692;0.022;0.000;0.000;0.000
Glastonbury and Somerton;Sarah Joanne Dyke;10;Somerset;72982;10159;2973;17472;13225;4270;0;0;1440;0.079;0.000;0.735;0.185;0.000;0.000;0.000;0.000
Gloucester;Unknown (Reform gain from LAB);10;Gloucestershire;79475;9941;7950;6303;13508;6766;0;1920;942;0.252;0.071;0.044;0.588;0.044;0.000;0.000;0.000
Godalming and Ash;Jeremy Hunt;12;Surrey;74168;19162;2014;18815;10032;2263;0;0;1500;0.435;0.000;0.447;0.117;0.000;0.000;0.000;0.000
Goole and Pocklington;David Davis;5;Humber area;78287;20132;4758;2354;17788;2557;0;0;1291;0.486;0.033;0.000;0.479;0.001;0.000;0.000;0.000
Gorton and Denton;Unknown (Green gain from LAB);4;Central Manchester;78125;2587;9208;1726;8235;10140;0;3337;0;0.002;0.319;0.000;0.237;0.442;0.000;0.000;0.000
Gosport;Caroline Dinenage;12;Hampshire;73261;18946;3429;2434;16716;2063;0;0;1920;0.560;0.005;0.003;0.431;0.000;0.000;0.000;0.000
Grantham and Bourne;Unknown (Reform gain from CON);8;Lincolnshire;73280;16989;3928;1787;18048;2351;0;0;1833;0.363;0.016;0.000;0.620;0.000;0.000;0.000;0.000
Gravesham;Unknown (Reform gain from LAB);12;Kent;73088;13983;6775;2110;15491;3260;0;0;2120;0.389;0.055;0.000;0.554;0.001;0.000;0.000;0.000
Great Grimsby and Cleethorpes;Unknown (Reform gain from LAB);5;Humber area;78875;6300;8291;2642;14674;4500;0;0;1796;0.042;0.134;0.000;0.816;0.006;0.000;0.000;0.000
Great Yarmouth;Rupert Lowe;9;Norfolk;73317;7801;7292;2981;17086;3495;0;0;3623;0.093;0.033;0.001;0.869;0.001;0.000;0.000;0.003
Greenwich and Woolwich;Matthew Pennycook;11;Greenwich;73573;4316;12919;3236;7722;12711;0;1742;759;0.005;0.487;0.001;0.057;0.450;0.000;0.000;0.000
Guildford;Zöe Franklin;12;Surrey;70734;10959;3623;18344;9312;6188;0;0;1151;0.076;0.002;0.869;0.048;0.005;0.000;0.000;0.000
Hackney North and Stoke Newington;Unknown (Green gain from LAB);11;Hackney;77797;2977;13459;2594;6314;17910;0;0;1642;0.001;0.226;0.000;0.007;0.765;0.000;0.000;0.000
Hackney South and Shoreditch;Unknown (Green gain from LAB);11;Hackney;78262;2399;12841;2119;5614;18736;0;2066;327;0.000;0.184;0.000;0.003;0.813;0.000;0.000;0.000
Halesowen;Unknown (Reform gain from LAB);7;Black Country;68549;7925;7450;4278;13479;5319;0;0;1478;0.152;0.102;0.006;0.722;0.017;0.000;0.000;0.000
Halifax;Unknown (Reform gain from LAB);5;West Yorkshire;77516;5377;8301;2794;12588;7949;0;3136;922;0.026;0.194;0.000;0.646;0.133;0.000;0.000;0.000
Hamble Valley;Paul Holmes;12;Hampshire;80537;16653;5247;10790;15583;3812;0;0;1802;0.465;0.003;0.157;0.373;0.001;0.000;0.000;0.000
Hammersmith and Chiswick;Andy Slaughter;11;Hammersmith and Fulham;75860;6538;14333;4313;7760;11864;0;1173;1422;0.038;0.595;0.004;0.063;0.299;0.000;0.000;0.000
Hampshire East;Damian Hinds;12;Hampshire;71965;13638;4186;13055;13375;3670;0;0;1738;0.352;0.002;0.323;0.322;0.000;0.000;0.000;0.000
Hampshire North East;Alex Brewer;12;Hampshire;76975;15056;4272;15702;14845;3478;0;0;1561;0.306;0.001;0.386;0.306;0.000;0.000;0.000;0.000
Hampshire North West;Kit Malthouse;12;Hampshire;78629;21336;4552;3729;16160;2972;0;0;1980;0.526;0.029;0.037;0.401;0.007;0.000;0.000;0.000
Hampstead and Highgate;Unknown (Green gain from LAB);11;Camden;80029;6767;13949;5915;7991;14579;0;0;2000;0.026;0.402;0.011;0.047;0.513;0.000;0.000;0.000
Harborough, Oadby and Wigston;Neil O'Brien;8;Leicestershire;77407;15907;7891;5102;11890;6157;0;0;1195;0.664;0.081;0.007;0.224;0.023;0.000;0.000;0.000
Harlow;Unknown (Reform gain from LAB);9;Essex;74683;12970;7349;2397;15862;3630;0;0;2227;0.348;0.050;0.001;0.599;0.002;0.000;0.000;0.000
Harpenden and Berkhamsted;Victoria Collins;9;Hertfordshire;72242;14154;2916;24706;8178;4043;0;0;1196;0.063;0.000;0.922;0.014;0.001;0.000;0.000;0.000
Harrogate and Knaresborough;Tom Gordon;5;North Yorkshire;77970;11303;4368;19223;10601;5651;0;0;1118;0.079;0.001;0.844;0.073;0.003;0.000;0.000;0.000
Harrow East;Bob Blackman;11;Harrow;76386;18755;7770;3846;7486;4485;0;1153;1717;0.944;0.030;0.001;0.019;0.005;0.000;0.000;0.000
Harrow West;Unknown (CON gain from LAB);11;Harrow;79902;10184;9866;4285;8000;8833;0;0;2089;0.342;0.304;0.015;0.122;0.214;0.000;0.000;0.002
Hartlepool;Unknown (Reform gain from LAB);3;Teesside;71437;3920;11131;1276;14836;2583;0;637;1400;0.029;0.233;0.001;0.730;0.006;0.000;0.000;0.000
Harwich and North Essex;Bernard Jenkin;9;Essex;76579;19850;4733;2046;17668;2659;0;0;1973;0.506;0.026;0.002;0.464;0.001;0.000;0.000;0.000
Hastings and Rye;Unknown (Reform gain from LAB);12;East Sussex;75939;7105;10374;3852;13224;9470;0;2541;1066;0.054;0.242;0.008;0.542;0.153;0.000;0.000;0.000
Havant;Unknown (Reform gain from CON);12;Hampshire;72346;13052;4855;2226;17517;3105;0;3525;0;0.190;0.014;0.003;0.791;0.001;0.000;0.000;0.000
Hayes and Harlington;John McDonnell;11;Hillingdon;74405;6768;9121;2115;6430;6895;0;3941;0;0.146;0.506;0.001;0.160;0.182;0.000;0.003;0.000
Hazel Grove;Lisa Smart;4;Eastern Manchester;72843;6834;6566;14274;10837;5338;0;0;1363;0.073;0.081;0.617;0.196;0.032;0.000;0.000;0.000
Hemel Hempstead;Unknown (Reform gain from LAB);9;Hertfordshire;71038;9385;8456;6785;12490;6549;0;0;1464;0.230;0.140;0.049;0.533;0.048;0.000;0.000;0.000
Hendon;Unknown (CON gain from LAB);11;Barnet;74865;11040;7929;3037;8529;6019;0;2613;329;0.564;0.162;0.002;0.211;0.061;0.000;0.000;0.000
Henley and Thame;Freddie Van Mierlo;12;Oxfordshire;73749;14483;3846;15501;13190;4772;0;0;2007;0.323;0.002;0.462;0.210;0.002;0.000;0.000;0.000
Hereford and South Herefordshire;Jesse Norman;7;Hereford and Worcestershire;72203;18492;4060;2517;17583;2676;0;0;1745;0.436;0.019;0.004;0.539;0.002;0.000;0.000;0.000
Herefordshire North;Unknown (Reform gain from Green);7;Hereford and Worcestershire;72797;11729;3496;3175;16536;13303;0;0;2085;0.155;0.000;0.000;0.576;0.267;0.000;0.000;0.000
Herne Bay and Sandwich;Unknown (Reform gain from CON);12;Kent;77841;15449;5955;2992;19775;3122;0;0;1941;0.260;0.014;0.002;0.722;0.001;0.000;0.000;0.000
Hertford and Stortford;Unknown (Reform gain from LAB);9;Hertfordshire;78915;10716;10854;6689;15392;10343;0;0;1757;0.158;0.161;0.022;0.540;0.118;0.000;0.000;0.000
Hertfordshire North East;Unknown (CON gain from LAB);9;Hertfordshire;77090;16379;8615;4461;15942;5150;0;0;2000;0.463;0.082;0.007;0.444;0.002;0.000;0.000;0.000
Hertfordshire South West;Gagan Mohindra;9;Hertfordshire;71353;16538;5522;7725;12172;4176;0;0;2164;0.712;0.018;0.080;0.186;0.004;0.000;0.000;0.000
Hertsmere;Oliver Dowden;9;Hertfordshire;73518;21783;4217;2466;14956;2463;0;0;1929;0.771;0.018;0.002;0.208;0.000;0.000;0.000;0.000
Hexham;Joe Morris;3;Northumberland;76431;13065;13826;4557;10506;5384;0;0;1544;0.362;0.467;0.004;0.160;0.006;0.000;0.000;0.000
Heywood and Middleton North;Unknown (Reform gain from LAB);4;Eastern Manchester;74786;1832;14138;709;16298;1385;0;0;3552;0.020;0.265;0.001;0.692;0.013;0.000;0.000;0.009
High Peak;Unknown (Reform gain from LAB);8;Derbyshire;74385;8582;13862;3691;14316;7094;0;0;1046;0.110;0.407;0.001;0.439;0.042;0.000;0.000;0.000
Hinckley and Bosworth;Luke Evans;8;Leicestershire;76431;16915;3964;6489;15561;2871;0;0;1268;0.493;0.005;0.053;0.446;0.002;0.000;0.000;0.000
Hitchin;Unknown (Reform gain from LAB);9;Hertfordshire;75080;11070;12169;7215;12477;7756;0;0;1468;0.232;0.340;0.037;0.337;0.053;0.000;0.000;0.000
Holborn and St Pancras;Unknown (Green gain from LAB);11;Camden;71300;2649;10337;2171;5535;12364;0;5355;373;0.001;0.347;0.000;0.026;0.618;0.000;0.007;0.000
Honiton and Sidmouth;Unknown (Reform gain from LIB);10;Devon;75537;13251;3369;14130;14968;2949;0;0;1924;0.255;0.001;0.349;0.394;0.000;0.000;0.000;0.000
Hornchurch and Upminster;Unknown (Reform gain from CON);11;Havering;75438;17372;3369;1482;22009;2105;0;0;1487;0.240;0.002;0.000;0.757;0.000;0.000;0.000;0.000
Hornsey and Friern Barnet;Catherine West;11;Haringey;69885;3486;16557;4940;5785;15079;0;2142;261;0.001;0.593;0.001;0.009;0.396;0.000;0.000;0.000
Horsham;Unknown (CON gain from LIB);12;West Sussex;79150;17292;4636;14743;12660;4434;0;0;2031;0.499;0.001;0.343;0.154;0.002;0.000;0.000;0.000
Houghton and Sunderland South;Unknown (Reform gain from LAB);3;Newcastle area;78448;1737;17017;823;19929;1600;0;0;2069;0.001;0.287;0.001;0.706;0.004;0.000;0.000;0.000
Hove and Portslade;Peter Kyle;12;East Sussex;74063;4931;15249;3883;11076;13562;0;0;2863;0.013;0.517;0.004;0.141;0.325;0.000;0.000;0.000
Huddersfield;Unknown (Green gain from LAB);5;West Yorkshire;77795;4730;8570;2682;10170;13361;0;0;1531;0.008;0.090;0.000;0.194;0.707;0.000;0.000;0.000
Hull East;Unknown (Reform gain from LAB);5;Humber area;70650;3145;6576;3039;14130;5274;0;0;1601;0.002;0.106;0.002;0.868;0.021;0.000;0.000;0.000
Hull North and Cottingham;Unknown (Reform gain from LAB);5;Humber area;75280;4484;9638;3543;12780;7774;0;0;1924;0.013;0.331;0.003;0.550;0.103;0.000;0.000;0.000
Hull West and Haltemprice;Unknown (Reform gain from LAB);5;Humber area;73252;3241;14455;1648;16238;3024;0;0;1758;0.024;0.301;0.001;0.640;0.033;0.000;0.000;0.000
Huntingdon;Benjamin Obese-Jecty;9;Cambridgeshire;79074;20380;5277;3149;17230;3172;0;0;1878;0.514;0.037;0.007;0.438;0.004;0.000;0.000;0.000
Hyndburn;Unknown (Reform gain from LAB);4;Lancashire;76126;7034;6705;2900;12739;7361;0;0;1187;0.097;0.086;0.001;0.716;0.100;0.000;0.000;0.000
Ilford North;Unknown (MIN gain from LAB);11;Redbridge;77835;7821;8087;2266;5674;7487;0;10126;0;0.179;0.225;0.001;0.087;0.173;0.000;0.335;0.000
Ilford South;Unknown (Green gain from LAB);11;Redbridge;80993;4778;8222;2182;6261;9454;0;0;6508;0.039;0.275;0.003;0.084;0.454;0.000;0.000;0.144
Ipswich;Unknown (Reform gain from LAB);9;Suffolk;76319;8128;9098;4020;14399;7577;0;0;1497;0.102;0.165;0.004;0.671;0.057;0.000;0.000;0.000
Isle of Wight East;Unknown (Reform gain from CON);12;Hampshire;55855;12704;2238;1639;13875;2715;0;0;1641;0.312;0.003;0.004;0.673;0.006;0.000;0.000;0.000
Isle of Wight West;Unknown (Reform gain from LAB);12;Hampshire;55406;6831;6648;4410;12299;4596;0;0;1104;0.123;0.081;0.019;0.761;0.016;0.000;0.000;0.000
Islington North;Unknown (Green gain from MIN);11;Islington;72582;2184;10322;2465;6710;14047;0;0;10870;0.001;0.179;0.000;0.025;0.558;0.000;0.000;0.236
Islington South and Finsbury;Unknown (Green gain from LAB);11;Islington;74122;3219;12931;3506;7744;15135;0;0;1639;0.002;0.327;0.000;0.044;0.627;0.000;0.000;0.000
Jarrow and Gateshead East;Unknown (Reform gain from LAB);3;Newcastle area;70272;1213;16240;705;17278;1666;0;0;1795;0.000;0.384;0.000;0.610;0.006;0.000;0.000;0.000
Keighley and Ilkley;Unknown (Reform gain from CON);5;West Yorkshire;74367;10424;9144;2752;12947;5986;0;0;1478;0.308;0.161;0.002;0.503;0.026;0.000;0.000;0.000
Kenilworth and Southam;Jeremy Wright;7;Warwickshire;74923;21045;5324;6035;16144;3760;0;0;1638;0.525;0.033;0.063;0.374;0.004;0.000;0.000;0.000
Kensington and Bayswater;Unknown (CON gain from LAB);11;Kensington and Chelsea;77306;11578;10089;3380;7322;7424;0;2765;608;0.478;0.323;0.003;0.101;0.094;0.000;0.000;0.000
Kettering;Unknown (Reform gain from LAB);8;Northamptonshire;79390;8236;9626;4043;15371;11580;0;0;1428;0.050;0.116;0.001;0.583;0.250;0.000;0.000;0.000
Kingston and Surbiton;Ed Davey;11;Kingston upon Thames;77340;7880;5635;17715;8875;8728;0;942;1723;0.036;0.013;0.824;0.054;0.072;0.000;0.000;0.000
Kingswinford and South Staffordshire;Mike Wood;7;Staffordshire;71662;18672;3890;1998;18224;1837;0;0;2064;0.475;0.005;0.000;0.519;0.000;0.000;0.000;0.000
Knowsley;Anneliese Midgley;4;Merseyside;72087;787;19214;525;13406;2374;0;1729;530;0.000;0.676;0.000;0.283;0.040;0.000;0.000;0.000
Lancashire West;Ashley Dalton;4;Lancashire;74083;2612;20422;911;16860;2117;0;0;1427;0.026;0.583;0.000;0.351;0.039;0.000;0.000;0.000
Lancaster and Wyre;Unknown (Green gain from LAB);4;Lancashire;74760;6818;11331;3242;11636;12503;0;0;1685;0.030;0.284;0.002;0.267;0.416;0.000;0.000;0.000
Leeds Central and Headingley;Unknown (Green gain from LAB);5;West Yorkshire;70554;2116;8958;2160;5612;16399;0;1366;403;0.000;0.065;0.000;0.010;0.924;0.000;0.000;0.000
Leeds East;Unknown (Reform gain from LAB);5;West Yorkshire;76207;4702;9995;2338;13074;7757;0;0;1849;0.014;0.325;0.000;0.561;0.099;0.000;0.000;0.001
Leeds North East;Fabian Hamilton;5;West Yorkshire;70178;5486;14200;2903;6529;12005;0;2396;734;0.011;0.618;0.000;0.045;0.326;0.000;0.000;0.000
Leeds North West;Katie White;5;West Yorkshire;71592;8521;14542;5864;9207;8116;0;0;1539;0.084;0.692;0.012;0.126;0.086;0.000;0.000;0.000
Leeds South;Unknown (Green gain from LAB);5;West Yorkshire;75953;3376;9097;2039;7876;10902;0;738;1399;0.006;0.267;0.000;0.145;0.581;0.000;0.000;0.000
Leeds South West and Morley;Unknown (Reform gain from LAB);5;West Yorkshire;71854;5586;11873;2388;14342;5119;0;0;1400;0.037;0.305;0.001;0.621;0.035;0.000;0.000;0.000
Leeds West and Pudsey;Rachel Reeves;5;West Yorkshire;70069;4930;10938;2574;10420;8671;0;1956;816;0.021;0.482;0.001;0.343;0.152;0.000;0.000;0.000
Leicester East;Shivani Raja;8;Leicestershire;76560;11369;5982;4278;5170;6212;0;3644;2014;0.718;0.103;0.021;0.065;0.090;0.000;0.000;0.002
Leicester South;Unknown (Green gain from MIN);8;Leicestershire;70867;3167;7555;2023;5496;12409;0;0;6070;0.009;0.117;0.000;0.036;0.789;0.000;0.000;0.049
Leicester West;Unknown (Green gain from LAB);8;Leicestershire;74102;5443;8446;2753;8076;8466;0;0;1496;0.067;0.337;0.004;0.254;0.337;0.000;0.000;0.000
Leicestershire Mid;Peter Bedford;8;Leicestershire;75933;17419;6345;2608;14937;3962;0;0;1377;0.508;0.070;0.000;0.413;0.007;0.000;0.000;0.000
Leicestershire North West;Unknown (Reform gain from LAB);8;Leicestershire;77757;14481;8308;2539;16685;4368;0;0;1912;0.371;0.070;0.000;0.553;0.004;0.000;0.000;0.000
Leicestershire South;Alberto Costa;8;Leicestershire;78543;20801;4366;3392;16628;2765;0;0;1441;0.561;0.031;0.008;0.396;0.002;0.000;0.000;0.000
Leigh and Atherton;Unknown (Reform gain from LAB);4;Western Manchester;79761;1891;16805;679;21230;1646;0;0;1908;0.005;0.231;0.000;0.759;0.004;0.000;0.000;0.000
Lewes;James MacCleary;12;East Sussex;76166;3945;1428;27715;16719;2642;0;0;1440;0.022;0.000;0.880;0.094;0.003;0.000;0.000;0.000
Lewisham East;Janet Daby;11;Lewisham;73376;3725;12423;2336;8156;10917;0;1582;704;0.005;0.537;0.001;0.108;0.349;0.000;0.000;0.000
Lewisham North;Unknown (Green gain from LAB);11;Lewisham;74204;2704;13562;2609;5911;17558;0;1137;732;0.000;0.250;0.000;0.004;0.746;0.000;0.000;0.000
Lewisham West and East Dulwich;Unknown (Green gain from LAB);11;Lewisham;70099;3177;15422;2957;6250;15753;0;1475;537;0.001;0.479;0.000;0.008;0.512;0.000;0.000;0.000
Leyton and Wanstead;Unknown (Green gain from LAB);11;Waltham Forest;73366;3947;11429;2974;7396;12650;0;1463;2031;0.007;0.368;0.001;0.069;0.554;0.000;0.000;0.000
Lichfield;Unknown (CON gain from LAB);7;Staffordshire;76118;17853;6908;2996;17847;2716;0;0;2008;0.447;0.045;0.001;0.506;0.001;0.000;0.000;0.000
Lincoln;Hamish Falconer;8;Lincolnshire;72313;6069;12586;2736;12239;6063;0;1447;1015;0.096;0.398;0.004;0.406;0.095;0.000;0.000;0.000
Liverpool Garston;Maria Eagle;4;Merseyside;69282;3469;13421;4022;10154;8752;0;0;2168;0.004;0.700;0.004;0.171;0.119;0.000;0.000;0.002
Liverpool Riverside;Unknown (Green gain from LAB);4;Merseyside;71380;1691;10441;1843;7592;12312;0;0;1330;0.000;0.305;0.000;0.070;0.625;0.000;0.000;0.000
Liverpool Walton;Dan Carden;4;Merseyside;69317;729;20039;511;12994;2195;0;0;1401;0.000;0.803;0.000;0.169;0.027;0.000;0.000;0.000
Liverpool Wavertree;Unknown (Green gain from LAB);4;Merseyside;70581;2359;12495;3026;7695;15170;0;0;1534;0.001;0.289;0.000;0.035;0.674;0.000;0.000;0.000
Liverpool West Derby;Ian Byrne;4;Merseyside;69934;968;19595;788;12599;2972;0;0;1765;0.000;0.783;0.000;0.161;0.056;0.000;0.000;0.000
Loughborough;Unknown (Reform gain from LAB);8;Leicestershire;68996;8491;9514;4134;10820;8071;0;0;1019;0.169;0.250;0.004;0.435;0.141;0.000;0.000;0.000
Louth and Horncastle;Unknown (Reform gain from CON);8;Lincolnshire;76882;16458;3386;1758;21027;1889;0;0;1673;0.219;0.005;0.000;0.776;0.000;0.000;0.000;0.000
Lowestoft;Unknown (Reform gain from LAB);9;Suffolk;74332;8134;7610;3848;17791;5680;0;0;1864;0.079;0.039;0.004;0.867;0.010;0.000;0.000;0.000
Luton North;Unknown (Reform gain from LAB);9;Bedfordshire;74866;5716;7130;2299;7750;6710;0;7580;0;0.099;0.243;0.007;0.381;0.143;0.000;0.127;0.000
Luton South and South Bedfordshire;Unknown (Reform gain from LAB);9;Bedfordshire;76970;5732;7005;2956;9836;7238;0;0;6154;0.084;0.154;0.008;0.469;0.188;0.000;0.000;0.096
Macclesfield;Tim Roca;4;Cheshire;76416;10900;14167;5448;12508;7620;0;0;1236;0.158;0.495;0.004;0.303;0.040;0.000;0.000;0.000
Maidenhead;Joshua Peter Reynolds;12;Berkshire;75687;18127;906;22106;5121;1454;0;0;1681;0.321;0.001;0.633;0.044;0.000;0.000;0.000;0.000
Maidstone and Malling;Unknown (Reform gain from CON);12;Kent;76449;12305;6388;7306;15278;7054;0;0;1863;0.292;0.024;0.065;0.578;0.040;0.000;0.000;0.000
Makerfield;Unknown (Reform gain from LAB);4;Western Manchester;76845;1470;15835;751;21572;1502;0;0;1846;0.001;0.165;0.000;0.829;0.003;0.000;0.000;0.000
Maldon;Unknown (Reform gain from CON);9;Essex;78281;19917;3133;2969;21493;1928;0;0;1723;0.391;0.001;0.000;0.607;0.000;0.000;0.000;0.000
Manchester Central;Unknown (Green gain from LAB);4;Central Manchester;85049;2942;10306;2442;8545;14526;0;2452;457;0.001;0.194;0.000;0.090;0.714;0.000;0.000;0.000
Manchester Rusholme;Unknown (Green gain from LAB);4;Central Manchester;72604;1595;7434;886;3541;14899;0;2253;174;0.000;0.050;0.000;0.000;0.949;0.000;0.000;0.000
Manchester Withington;Unknown (Green gain from LAB);4;Central Manchester;70549;2269;13129;3527;4525;17164;0;2083;101;0.000;0.260;0.000;0.003;0.737;0.000;0.000;0.000
Mansfield;Unknown (Reform gain from LAB);8;Nottinghamshire;73817;7948;7936;2850;16518;4771;0;0;1275;0.082;0.066;0.000;0.847;0.005;0.000;0.000;0.000
