Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Cheshire Mid;Andrew Graham Cooper;4;Cheshire;70384;2967;19410;565;17066;976;0;4139;0;0.027;0.648;0;0.324;0;0;0;0
Chester North and Neston;Samantha Dixon;4;Wirral and Chester North;70215;8022;17659;2107;10046;5139;0;3752;0;0.02;0.884;0;0.093;0.003;0;0;0
Chester South and Eddisbury;Aphra Brandreth;4;Cheshire;74284;18189;13474;4182;12028;4199;0;2404;0;0.681;0.206;0;0.111;0.001;0;0;0
Chesterfield;Toby Perkins;8;Derbyshire North;71654;2381;18979;557;15699;1116;0;5148;0;0.013;0.698;0;0.287;0.001;0;0.001;0
Chichester;Jessica Brown-Fuller;12;Sussex West;78374;11643;4948;20858;12793;2957;0;2694;0;0.06;0.001;0.843;0.096;0;0;0;0
Chingford and Woodford Green;Iain Duncan Smith;11;Lea Valley;75178;14213;8938;2812;8465;5877;0;8772;0;0.678;0.127;0.002;0.105;0.035;0;0.053;0
Chippenham;Sarah Gibson;10;Swindon and Chippenham;73876;12172;4119;19909;9654;3568;0;2388;0;0.101;0.002;0.866;0.031;0;0;0;0
Chipping Barnet;Unknown (CON gain from LAB);11;Brent Harrow Barnet;78038;14726;14596;3155;9912;7490;0;3169;0;0.41;0.476;0.002;0.085;0.027;0;0;0
Chorley;Lindsay Hoyle;4;Lancashire South;74575;2196;21109;1151;6668;7163;0;3350;0;0;0.979;0;0.007;0.013;0;0;0
Christchurch;Christopher Chope;10;Bournemouth;71064;21822;4211;3380;16983;1904;0;2634;0;0.648;0.011;0.019;0.32;0;0;0;0
Cities of London and Westminster;Unknown (CON gain from LAB);11;Central London;73369;13050;11604;5053;7410;6828;0;1953;0;0.518;0.356;0.007;0.062;0.056;0;0;0
Clacton;Nigel Farage;9;Essex North;78703;15090;3090;1823;22169;1272;0;5363;0;0.129;0.002;0;0.868;0;0;0;0
Clapham and Brixton Hill;Bell Ribeiro-Addy;11;Lambeth and Wandsworth;74435;4053;16287;4463;4169;14976;0;2162;0;0.001;0.597;0;0.001;0.399;0;0;0
Colchester;Pam Cox;9;Essex North;78662;5524;18115;3148;16012;2914;0;4071;0;0.093;0.548;0.008;0.342;0.008;0;0;0
Colne Valley;Paul Davies;5;Huddersfield and Halifax;72638;10693;13373;2440;11344;5047;0;3727;0;0.19;0.527;0;0.276;0.006;0;0;0
Congleton;Sarah Alison Russell;4;Cheshire;74243;14481;15745;2767;14515;3146;0;3179;0;0.3;0.396;0;0.304;0;0;0;0
Corby and East Northamptonshire;Unknown (Reform gain from LAB);8;Northamptonshire;78787;12756;12639;3202;14083;4364;0;3250;0;0.276;0.288;0;0.433;0.002;0;0;0
Cornwall North;Ben Maguire;10;Cornwall;76832;11399;3632;20408;12410;2705;0;2941;0;0.061;0;0.84;0.098;0;0;0;0
Cornwall South East;Unknown (Reform gain from LAB);10;Cornwall;72728;11640;9567;8100;15492;3494;0;2810;0;0.281;0.1;0.048;0.57;0.001;0;0;0
Cotswolds North;Geoffrey Clifton-Brown;10;Gloucestershire;72513;14562;8006;11260;11782;4419;0;2603;0;0.518;0.042;0.214;0.223;0.002;0;0;0
Cotswolds South;Roz Savage;10;Swindon and Chippenham;71971;19854;1017;25883;5601;941;0;2195;0;0.238;0;0.739;0.022;0;0;0;0
Coventry East;Mary Creagh;7;Coventry and Meriden;75801;4855;12542;1940;9132;7796;0;4419;0;0.023;0.698;0;0.179;0.098;0;0.001;0
Coventry North West;Taiwo Owatemi;7;Coventry and Meriden;75057;2793;20234;812;16739;1625;0;3624;0;0.036;0.659;0.001;0.301;0.002;0;0;0
Coventry South;Zarah Sultana;7;Coventry and Meriden;76262;8632;11477;3454;10705;6785;0;5391;0;0.222;0.357;0.007;0.319;0.081;0;0.009;0.003
Cramlington and Killingworth;Emma Foody;3;Northumberland;76228;2918;23245;527;17677;1478;0;3824;0;0.02;0.731;0;0.247;0.001;0;0;0
Crawley;Unknown (Reform gain from LAB);12;Sussex West;75569;9034;10814;3311;11014;6357;0;4255;0;0.208;0.379;0.006;0.365;0.04;0;0.001;0
Crewe and Nantwich;Connor Naismith;4;Cheshire;78423;3309;21154;574;19271;1104;0;4959;0;0.032;0.604;0;0.364;0;0;0;0
Croydon East;Natasha Dawn Irons;11;Croydon;76660;10758;10902;4960;9849;6817;0;2422;0;0.282;0.4;0.011;0.254;0.052;0;0;0
Croydon South;Chris Philp;11;Croydon;74968;19262;11080;5440;8994;6320;0;1603;0;0.837;0.111;0.005;0.036;0.01;0;0;0
Croydon West;Sarah Jones;11;Dagenham and Redbridge;77942;5231;14224;3007;5792;10622;0;2635;0;0.012;0.714;0.002;0.022;0.25;0;0;0
Dagenham and Rainham;Margaret Mullane;11;Teesside;76478;2260;17940;527;15937;2207;0;4231;0;0.016;0.507;0;0.428;0.048;0;0;0
Darlington;Lola McEvoy;3;Kent West;70763;10733;12764;1788;11926;3673;0;4137;0;0.208;0.455;0;0.336;0;0;0;0
Dartford;Unknown (CON gain from LAB);12;Northamptonshire;75426;16298;8462;2768;14900;4164;0;3430;0;0.486;0.109;0.003;0.397;0.004;0;0;0
Daventry;Stuart Andrew;8;Derbyshire South;80879;18507;9370;4633;14546;4244;0;3577;0;0.631;0.108;0.001;0.257;0.002;0;0;0
Derby North;Catherine Atkinson;8;Derbyshire South;71900;6423;16232;1503;13243;3590;0;4101;0;0.061;0.672;0;0.264;0.002;0;0;0
Derby South;Baggy Shanker;8;Derbyshire North;72952;1764;17336;328;13293;1533;0;4294;0;0.033;0.647;0;0.301;0.018;0;0;0
Derbyshire Dales;Unknown (Reform gain from LAB);8;Derbyshire South;73317;14709;14445;3619;15195;2997;0;3297;0;0.345;0.302;0.001;0.35;0.001;0;0;0
Derbyshire Mid;Jonathan Peter Tom Davies;8;Derbyshire North;69281;13846;14122;2456;13999;3580;0;2796;0;0.314;0.354;0;0.332;0;0;0;0
Derbyshire North East;Unknown (Reform gain from LAB);8;Derbyshire South;73139;12576;13173;2133;14177;3239;0;4187;0;0.263;0.309;0;0.427;0;0;0;0
Derbyshire South;Samantha Niblett;8;Devon Central and East;73714;10077;12715;2270;12493;4268;0;4473;0;0.162;0.437;0;0.396;0.005;0;0;0
Devon Central;Mel Stride;10;Somerset West and Barnstaple;75385;14247;11608;8370;13436;4686;0;2930;0;0.464;0.174;0.061;0.297;0.003;0;0;0
Devon North;Ian Roome;10;Devon South;79079;12306;4246;18410;12296;3435;0;2658;0;0.131;0.001;0.735;0.132;0.001;0;0;0
Devon South;Caroline Voaden;10;Devon South;70755;15032;3509;20119;9270;2354;0;1955;0;0.203;0.001;0.737;0.058;0;0;0;0
Devon South West;Rebecca Smith;10;Wakefield and Dewsbury;77600;14916;11030;5909;14275;4736;0;3602;0;0.505;0.156;0.019;0.313;0.006;0;0;0
Dewsbury and Batley;Unknown (LAB gain from MIN);5;Oxfordshire;71685;4117;10270;1306;7600;4436;0;6181;0;0.069;0.534;0.002;0.251;0.061;0;0.075;0.006
Didcot and Wantage;Olly Glover;12;Doncaster and Rotherham;80689;12460;6709;19302;9694;5102;0;2761;0;0.114;0.006;0.83;0.047;0.002;0;0;0
Doncaster Central;Unknown (Reform gain from LAB);5;Doncaster and Rotherham;74678;2708;16738;487;17316;1027;0;4158;0;0.03;0.452;0;0.518;0;0;0;0
