Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Stirling and Strathallan;Unknown (NAT gain from LAB);2;Central;76284;7704;9165;2791;9836;4943;15693;0;443;0.038;0.115;0.001;0.130;0.006;0.709;0.000;0.000
Antrim East;Sammy Wilson;1;Antrim;73302;9497;886;11479;10142;4102;2969;0;599;0.217;0.001;0.475;0.296;0.003;0.007;0.000;0.000
Antrim North;Jim Allister;1;Antrim;74697;3926;1650;11212;4474;11608;7690;0;624;0.008;0.001;0.420;0.013;0.446;0.111;0.000;0.000
Antrim South;Robin Swann;1;Antrim;77058;16333;1579;8816;4559;2671;8009;0;941;0.847;0.000;0.086;0.007;0.000;0.058;0.000;0.000
Belfast East;Gavin Robinson;1;Antrim;72917;1829;615;19902;17203;1902;0;0;1255;0.000;0.000;0.674;0.326;0.000;0.000;0.000;0.000
Belfast North;John Finucane;1;Antrim;74240;21;1404;12079;4260;2853;17651;0;2184;0.000;0.000;0.194;0.001;0.000;0.804;0.000;0.000
Belfast South and Mid Down;Claire Hanna;1;Antrim;74749;2672;21317;6874;8824;2200;0;0;1605;0.000;0.974;0.008;0.017;0.000;0.000;0.000;0.000
Belfast West;Paul Maskey;1;Antrim;75346;482;4293;4321;1073;1993;20986;5048;1547;0.000;0.002;0.004;0.000;0.000;0.993;0.000;0.000
Down North;Alex Easton;1;Down;73885;6760;653;5;13593;0;0;20913;1373;0.027;0.002;0.006;0.259;0.000;0.008;0.697;0.000
Down South;Chris Hazzard;1;Down;76248;1436;10389;7369;3176;1877;19672;0;1324;0.000;0.062;0.023;0.000;0.000;0.914;0.000;0.000
Fermanagh and South Tyrone;Pat Cullen;1;Fermanagh;77828;20289;2371;13;2412;0;24815;0;1177;0.303;0.000;0.000;0.000;0.000;0.697;0.000;0.000
Foyle;Colum Eastwood;1;Londonderry;73496;1438;15623;3927;1264;0;11459;0;4648;0.000;0.770;0.006;0.000;0.000;0.220;0.000;0.002
Lagan Valley;Sorcha-Lucy Eastwood;1;Down;82201;11170;1021;15669;18601;2168;0;0;452;0.059;0.000;0.319;0.622;0.000;0.000;0.000;0.000
Londonderry East;Gregory Campbell;1;Londonderry;75707;3442;5234;11529;3721;4329;11303;0;1719;0.008;0.025;0.506;0.013;0.010;0.436;0.000;0.002
Newry and Armagh;Dáire Hughes;1;Down;78244;3205;6777;5924;2683;4065;22273;0;1016;0.000;0.003;0.008;0.000;0.001;0.986;0.000;0.000
Strangford;Jim Shannon;1;Down;74525;3961;1772;15575;10414;3117;2777;0;1292;0.002;0.000;0.827;0.167;0.000;0.003;0.000;0.000
Tyrone West;Órfhlaith Begley;1;Fermanagh;74269;2708;5793;6814;2279;2509;22686;0;906;0.000;0.003;0.004;0.000;0.000;0.993;0.000;0.000
Ulster Mid;Cathal Mallaghan;1;Tyrone;74000;2294;3698;9182;1994;2954;24059;0;1265;0.000;0.000;0.012;0.000;0.000;0.987;0.000;0.000
Upper Bann;Carla Lockhart;1;Armagh;81249;3678;1486;21655;6305;0;14209;0;24;0.000;0.000;0.864;0.001;0.000;0.134;0.000;0.000
