Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Dover;Unknown (LAB gain from CON);12;Black Country;76355;0.36;0.2;0.11;0.23;0.09;0;0;0.01;CON;0.247;0.726;0;0.025;0.001;0;0;0
Dudley North;Unknown (LAB gain from CON);7;Lambeth and Wandsworth;61936;0.28;0.27;0.06;0.31;0.07;0;0;0.02;UKIP;0.222;0.756;0;0.021;0;0;0;0
Dudley South;Mike Wood;7;Croydon;60731;0.09;0.49;0.11;0.07;0.23;0;0;0.01;LAB;0.524;0.452;0;0.023;0;0;0;0
Dulwich and West Norwood;Helen Hayes;11;Bedfordshire;80331;0.29;0.28;0.14;0.22;0.07;0;0;0.01;CON;0;0.999;0;0.001;0;0;0;0
Durham North;Kevan Jones;3;County Durham;66796;0.17;0.31;0.11;0.3;0.09;0;0;0.02;LAB;0.002;0.98;0;0.018;0;0;0;0
Durham North West;Unknown (LAB gain from CON);3;County Durham;72166;0.15;0.36;0.15;0.22;0.11;0;0;0.01;LAB;0.009;0.958;0;0.032;0;0;0;0
Durham, City of;Mary Foy;3;West London;71271;0.17;0.41;0.14;0.1;0.16;0;0;0.02;LAB;0.005;0.97;0.003;0.021;0;0;0;0
Ealing Central and Acton;Rupa Huq;11;Southall;75510;0.19;0.41;0.09;0.15;0.13;0;0;0.03;LAB;0.001;0.996;0;0.002;0;0;0;0
Ealing North;James Murray;11;Southall;74473;0.17;0.43;0.09;0.12;0.14;0;0;0.05;LAB;0;0.999;0;0;0;0;0;0
Ealing Southall;Virendra Sharma;11;Berkshire;64581;0.32;0.33;0.15;0.09;0.1;0;0;0.01;LAB;0;0.999;0;0.001;0;0;0;0
Easington;Grahame Morris;3;County Durham;61182;0.15;0.36;0.06;0.34;0.08;0;0;0.02;LAB;0;0.981;0;0.019;0;0;0;0
East Ham;Stephen Timms;11;Sussex East;88319;0.35;0.22;0.19;0.09;0.11;0;0;0.03;CON;0;1;0;0;0;0;0;0
Eastbourne;Unknown (LIB gain from CON);12;Lea Valley;79307;0.14;0.44;0.08;0.11;0.17;0;0;0.06;LAB;0.193;0.007;0.78;0.019;0;0;0;0
Eastleigh;Unknown (LIB gain from CON);12;Sussex East;83880;0.25;0.11;0.39;0.18;0.06;0;0;0.01;LIB;0.311;0.088;0.543;0.057;0.001;0;0;0
Eddisbury;Unknown (LAB gain from CON);4;Southampton;73700;0.29;0.17;0.28;0.18;0.07;0;0;0.01;CON;0.349;0.598;0.005;0.047;0;0;0;0
Edmonton;Kate Osamor;11;Enfield and Haringey;65747;0.2;0.41;0.1;0.14;0.13;0;0;0.02;LAB;0;1;0;0;0;0;0;0
Ellesmere Port and Neston;Justin Madders;4;Wirral and Chester North;70327;0.14;0.43;0.08;0.23;0.1;0;0;0.01;LAB;0.003;0.985;0;0.011;0;0;0;0
Elmet and Rothwell;Unknown (LAB gain from CON);5;Bexley and Bromley;80957;0.24;0.36;0.09;0.2;0.1;0;0;0.01;LAB;0.262;0.698;0;0.04;0;0;0;0
Eltham;Clive Efford;11;Cambridgeshire South;64086;0.29;0.19;0.27;0.17;0.07;0;0;0.01;CON;0.008;0.985;0;0.006;0;0;0;0
Enfield North;Feryal Clark;11;Enfield and Haringey;68301;0.2;0.4;0.09;0.17;0.12;0;0;0.02;LAB;0.003;0.995;0;0.001;0;0;0;0
Enfield Southgate;Bambos Charalambous;11;Essex South West;65525;0.38;0.26;0.13;0.12;0.08;0;0;0.03;CON;0.017;0.978;0;0.004;0;0;0;0
Epping Forest;Eleanor Laing;9;Surrey East;74304;0.29;0.18;0.31;0.15;0.06;0;0;0.01;LIB;0.83;0.169;0.001;0;0;0;0;0
Epsom and Ewell;Chris Grayling;12;Derbyshire South;81138;0.24;0.31;0.08;0.27;0.08;0;0;0.01;LAB;0.473;0.358;0.066;0.1;0.003;0;0;0
Erewash;Unknown (LAB gain from CON);8;Bexley and Bromley;72523;0.15;0.43;0.08;0.19;0.13;0;0;0.02;LAB;0.1;0.881;0;0.018;0;0;0;0
Erith and Thamesmead;Abena Oppong-Asare;11;Runnymede;65399;0.27;0.12;0.41;0.13;0.05;0;0;0.01;LIB;0.001;0.993;0;0.005;0;0;0;0
Esher and Walton;Unknown (LIB gain from CON);12;Essex North;81184;0.32;0.28;0.12;0.19;0.08;0;0;0.01;CON;0.386;0.048;0.523;0.043;0;0;0;0
Exeter;Ben Bradshaw;10;Devon Central and East;82054;0.17;0.36;0.13;0.15;0.17;0;0;0.01;LAB;0.005;0.978;0;0.015;0.002;0;0;0
Fareham;Suella Braverman;12;Devon Central and East;78337;0.28;0.26;0.2;0.19;0.07;0;0;0.01;CON;0.724;0.217;0.027;0.031;0.001;0;0;0
Faversham and Kent Mid;Helen Whately;12;Portsmouth;73403;0.32;0.21;0.17;0.22;0.06;0;0;0.01;CON;0.661;0.271;0.01;0.058;0;0;0;0
Feltham and Heston;Seema Malhotra;11;Surrey West and Aldershot;80934;0.32;0.16;0.27;0.16;0.07;0;0;0.01;CON;0.002;0.995;0;0.003;0;0;0;0
Filton and Bradley Stoke;Unknown (LAB gain from CON);10;Medway and Maidstone;74016;0.29;0.24;0.1;0.25;0.1;0;0;0.01;CON;0.105;0.872;0.003;0.02;0;0;0;0
Finchley and Golders Green;Unknown (LAB gain from CON);11;South West London;77573;0.21;0.36;0.08;0.2;0.11;0;0;0.04;LAB;0.118;0.86;0.005;0.016;0;0;0;0
Folkestone and Hythe;Damian Collins;12;Avon North;88272;0.24;0.37;0.1;0.17;0.11;0;0;0.01;LAB;0.57;0.322;0.008;0.097;0.003;0;0;0
Forest of Dean;Unknown (LAB gain from CON);10;Brent Harrow Barnet;71438;0.3;0.38;0.1;0.1;0.1;0;0;0.01;LAB;0.324;0.508;0.006;0.151;0.011;0;0;0
Fylde;Unknown (LAB gain from CON);4;Kent South;66847;0.26;0.28;0.07;0.28;0.1;0;0;0.01;LAB;0.375;0.563;0;0.061;0;0;0;0
Gainsborough;Edward Leigh;8;Gloucestershire;76343;0.31;0.28;0.08;0.22;0.1;0;0;0.01;CON;0.446;0.454;0.016;0.083;0;0;0;0
Garston and Halewood;Maria Eagle;4;Somerset East and Weston;76116;0.24;0.16;0.29;0.18;0.12;0;0;0.01;LIB;0;0.999;0;0.001;0;0;0;0
Gateshead;Ian Mearns;3;Lancashire West;64449;0.31;0.28;0.07;0.25;0.06;0;0;0.03;CON;0;0.996;0;0.003;0;0;0;0
Gedling;Unknown (LAB gain from CON);8;Lincolnshire North;71366;0.31;0.23;0.11;0.28;0.06;0;0;0.01;CON;0.022;0.963;0;0.015;0;0;0;0
Gillingham and Rainham;Unknown (LAB gain from CON);12;Tyne and Wear South;73549;0.14;0.35;0.12;0.26;0.12;0;0;0.01;LAB;0.38;0.599;0;0.02;0;0;0;0
Gloucester;Unknown (LAB gain from CON);10;Nottinghamshire South;80901;0.22;0.37;0.08;0.23;0.09;0;0;0.01;LAB;0.129;0.834;0.003;0.033;0;0;0;0
Gosport;Caroline Dinenage;12;Medway and Maidstone;73541;0.27;0.3;0.08;0.25;0.08;0;0;0.01;LAB;0.661;0.287;0.014;0.037;0.001;0;0;0
Grantham and Stamford;Gareth Davies;8;Somerset East and Weston;81502;0.28;0.11;0.33;0.2;0.07;0;0;0.01;LIB;0.51;0.397;0.003;0.088;0.001;0;0;0
Gravesham;Unknown (LAB gain from CON);12;Gloucestershire;73242;0.27;0.3;0.12;0.21;0.08;0;0;0.02;LAB;0.383;0.596;0;0.021;0;0;0;0
Great Grimsby;Unknown (LAB gain from CON);5;Surrey West and Aldershot;61409;0.37;0.1;0.33;0.15;0.05;0;0;0.01;CON;0.056;0.904;0;0.039;0;0;0;0
Great Yarmouth;Unknown (LAB gain from CON);9;East Yorkshire;71957;0.33;0.25;0.08;0.25;0.07;0;0;0.01;CON;0.429;0.539;0;0.032;0;0;0;0
Greenwich and Woolwich;Matthew Pennycook;11;Manchester East;79997;0.12;0.39;0.07;0.21;0.17;0;0;0.04;LAB;0;0.999;0;0;0;0;0;0
Guildford;Unknown (LIB gain from CON);12;Portsmouth;77729;0.36;0.23;0.1;0.24;0.07;0;0;0.01;CON;0.238;0.09;0.621;0.05;0;0;0;0
Hackney North and Stoke Newington;Diane Abbott;11;Lincolnshire South;92462;0.32;0.23;0.07;0.27;0.08;0;0;0.03;CON;0;1;0;0;0;0;0;0
Hackney South and Shoreditch;Meg Hillier;11;Kent West;89387;0.3;0.3;0.07;0.25;0.08;0;0;0.01;CON;0;0.999;0;0.001;0;0;0;0
Halesowen and Rowley Regis;Unknown (LAB gain from CON);7;Lincolnshire North;68300;0.22;0.3;0.06;0.34;0.07;0;0;0.01;UKIP;0.237;0.746;0;0.016;0;0;0;0
Halifax;Holly Lynch;5;Norfolk North;71887;0.25;0.25;0.06;0.37;0.06;0;0;0.01;UKIP;0.008;0.978;0;0.014;0;0;0;0
Haltemprice and Howden;Unknown (LAB gain from CON);5;South East London;71083;0.12;0.45;0.11;0.11;0.19;0;0;0.02;LAB;0.433;0.503;0.002;0.061;0;0;0;0
Halton;Derek Twigg;4;Surrey West and Aldershot;71930;0.28;0.13;0.38;0.13;0.08;0;0;0.01;LIB;0;0.999;0;0.001;0;0;0;0
Hammersmith;Andy Slaughter;11;Hackney and Tower Hamlets;74759;0.09;0.47;0.08;0.07;0.27;0;0;0.02;LAB;0.001;0.998;0;0.001;0;0;0;0
Hampshire East;Damian Hinds;12;Hackney and Tower Hamlets;76478;0.07;0.47;0.08;0.07;0.29;0;0;0.02;LAB;0.658;0.1;0.183;0.057;0.001;0;0;0
Hampshire North East;Ranil Jayawardena;12;Black Country;78954;0.26;0.3;0.08;0.26;0.08;0;0;0.01;LAB;0.653;0.142;0.137;0.067;0;0;0;0
Hampshire North West;Kit Malthouse;12;Huddersfield and Halifax;83083;0.21;0.29;0.08;0.26;0.13;0;0;0.03;LAB;0.688;0.221;0.053;0.037;0;0;0;0
Hampstead and Kilburn;Tulip Siddiq;11;Southampton;86571;0.33;0.17;0.23;0.19;0.06;0;0;0.01;CON;0.002;0.989;0.002;0.006;0;0;0;0
Harborough;Unknown (LAB gain from CON);8;West London;80151;0.17;0.44;0.12;0.1;0.15;0;0;0.02;LAB;0.346;0.559;0.021;0.074;0;0;0;0
Harlow;Unknown (LAB gain from CON);9;Hampshire;68078;0.33;0.13;0.28;0.17;0.07;0;0;0.01;CON;0.276;0.702;0;0.022;0;0;0;0
Harrogate and Knaresborough;Andrew Jones;5;Hampshire;77941;0.33;0.13;0.31;0.16;0.05;0;0;0.01;CON;0.424;0.112;0.399;0.065;0;0;0;0
Harrow East;Unknown (LAB gain from CON);11;Hampshire;72106;0.31;0.25;0.15;0.2;0.08;0;0;0.01;CON;0.212;0.781;0;0.006;0;0;0;0
Harrow West;Gareth Thomas;11;Central London;72464;0.16;0.41;0.14;0.09;0.18;0;0;0.02;LAB;0.003;0.996;0;0;0;0;0;0
Hartlepool;Mike Hill;3;Leicestershire East and Rutland;70855;0.32;0.27;0.1;0.2;0.1;0;0;0.01;CON;0.409;0.528;0;0.063;0;0;0;0
Harwich and North Essex;Bernard Jenkin;9;Essex South West;74153;0.29;0.29;0.07;0.26;0.08;0;0;0.01;CON;0.508;0.433;0.013;0.046;0;0;0;0
Hastings and Rye;Unknown (LAB gain from CON);12;Hertfordshire West;80524;0.28;0.13;0.4;0.12;0.06;0;0;0.01;LIB;0.08;0.89;0;0.029;0;0;0;0
Havant;Alan Mak;12;York;72103;0.27;0.13;0.34;0.18;0.07;0;0;0.01;LIB;0.743;0.22;0.008;0.029;0;0;0;0
Hayes and Harlington;John McDonnell;11;Brent Harrow Barnet;72357;0.44;0.26;0.07;0.13;0.07;0;0;0.02;CON;0.001;0.997;0;0.002;0;0;0;0
Hazel Grove;Unknown (LIB gain from CON);4;Brent Harrow Barnet;63346;0.27;0.38;0.09;0.12;0.1;0;0;0.03;LAB;0.238;0.196;0.479;0.086;0;0;0;0
Hemel Hempstead;Unknown (LAB gain from CON);9;County Durham;74035;0.22;0.33;0.05;0.31;0.07;0;0;0.02;LAB;0.259;0.687;0.01;0.043;0;0;0;0
Hemsworth;Jon Trickett;5;Essex North;73726;0.32;0.27;0.1;0.24;0.08;0;0;0.01;CON;0.004;0.952;0;0.043;0;0;0;0
Hendon;Unknown (LAB gain from CON);11;Sussex East;82661;0.23;0.34;0.09;0.21;0.13;0;0;0.01;LAB;0.048;0.948;0;0.004;0;0;0;0
Henley;Unknown (LIB gain from CON);12;Portsmouth;76646;0.29;0.25;0.1;0.27;0.08;0;0;0.01;CON;0.376;0.061;0.489;0.07;0.004;0;0;0
Hereford and South Herefordshire;Jesse Norman;7;Southall;72085;0.21;0.42;0.07;0.17;0.1;0;0;0.02;LAB;0.531;0.334;0.033;0.099;0.003;0;0;0
Herefordshire North;Bill Wiggin;7;Manchester East;70252;0.2;0.22;0.29;0.21;0.07;0;0;0.01;LIB;0.771;0.086;0.046;0.092;0.004;0;0;0
Hertford and Stortford;Julie Marson;9;Hertfordshire West;81765;0.25;0.32;0.12;0.21;0.09;0;0;0.01;LAB;0.532;0.351;0.023;0.083;0.01;0;0;0
Hertfordshire North East;Oliver Heald;9;Brent Harrow Barnet;76123;0.32;0.33;0.08;0.13;0.11;0;0;0.02;LAB;0.476;0.465;0.013;0.045;0;0;0;0
Hertfordshire South West;Gagan Mohindra;9;Oxfordshire;80449;0.3;0.12;0.36;0.15;0.06;0;0;0.01;LIB;0.606;0.223;0.076;0.093;0.001;0;0;0
Hertsmere;Oliver Dowden;9;English Marches;73971;0.3;0.25;0.12;0.23;0.09;0;0;0.01;CON;0.627;0.345;0.002;0.025;0;0;0;0
Hexham;Guy Opperman;3;English Marches;61324;0.29;0.1;0.06;0.2;0.34;0;0;0.01;Green;0.491;0.508;0.001;0;0;0;0;0
Heywood and Middleton;Unknown (LAB gain from CON);4;Kent East;80162;0.32;0.25;0.08;0.26;0.08;0;0;0.01;CON;0.011;0.97;0;0.018;0;0;0;0
High Peak;Unknown (LAB gain from CON);8;Hertfordshire East;74265;0.27;0.33;0.1;0.19;0.1;0;0;0.01;LAB;0.035;0.953;0;0.012;0;0;0;0
Hitchin and Harpenden;Unknown (LIB gain from CON);9;Hertfordshire East;76323;0.28;0.3;0.12;0.2;0.09;0;0;0.01;LAB;0.314;0.287;0.352;0.047;0;0;0;0
Holborn and St Pancras;Keir Starmer;11;Hertfordshire West;86061;0.31;0.2;0.21;0.19;0.08;0;0;0.01;CON;0;0.999;0;0.001;0;0;0;0
Hornchurch and Upminster;Unknown (LAB gain from CON);11;Hertfordshire West;80765;0.38;0.25;0.1;0.19;0.07;0;0;0.01;CON;0.405;0.506;0.001;0.087;0.001;0;0;0
Hornsey and Wood Green;Catherine West;11;Northumberland;81814;0.33;0.38;0.08;0.11;0.08;0;0;0.02;LAB;0;0.991;0.005;0.003;0;0;0;0
Horsham;Jeremy Quin;12;Manchester North East;86730;0.2;0.32;0.08;0.3;0.06;0;0;0.04;LAB;0.461;0.178;0.293;0.066;0.001;0;0;0
Houghton and Sunderland South;Bridget Phillipson;3;Derbyshire North;68835;0.26;0.36;0.07;0.2;0.1;0;0;0.01;LAB;0.002;0.973;0;0.025;0;0;0;0
Hove;Peter Kyle;12;Leicestershire West;74313;0.31;0.17;0.19;0.25;0.06;0;0;0.01;CON;0.002;0.991;0;0.007;0;0;0;0
Huddersfield;Barry Sheerman;5;Hertfordshire East;65525;0.26;0.37;0.11;0.17;0.08;0;0;0.01;LAB;0.002;0.991;0;0.006;0;0;0;0
Hull East;Karl Turner;5;Central London;65745;0.1;0.43;0.1;0.1;0.19;0;0;0.07;LAB;0.002;0.955;0;0.043;0;0;0;0
Hull North;Diana Johnson;5;Devon Central and East;65515;0.31;0.1;0.35;0.18;0.05;0;0;0.01;LIB;0.001;0.988;0;0.01;0;0;0;0
Hull West and Hessle;Emma Hardy;5;Dagenham and Redbridge;60192;0.31;0.23;0.07;0.31;0.07;0;0;0.01;CON;0.002;0.95;0;0.047;0;0;0;0
Huntingdon;Unknown (LAB gain from CON);9;Enfield and Haringey;84657;0.09;0.51;0.14;0.07;0.18;0;0;0.01;LAB;0.34;0.54;0.044;0.074;0.001;0;0;0
Hyndburn;Unknown (LAB gain from CON);4;Sussex West;70842;0.31;0.14;0.31;0.16;0.06;0;0;0.01;CON;0.026;0.964;0;0.009;0;0;0;0
Ilford North;Wes Streeting;11;Tyne and Wear South;72973;0.15;0.34;0.08;0.33;0.08;0;0;0.01;LAB;0.009;0.99;0;0.001;0;0;0;0
Ilford South;Sam Tarry;11;South Coast;84972;0.14;0.45;0.09;0.12;0.17;0;0;0.02;LAB;0;1;0;0;0;0;0;0
Ipswich;Unknown (LAB gain from CON);9;Huddersfield and Halifax;75525;0.17;0.3;0.07;0.21;0.24;0;0;0.01;LAB;0.049;0.936;0;0.014;0;0;0;0
Isle of Wight;Unknown (LAB gain from CON);12;East Yorkshire;113021;0.13;0.31;0.11;0.35;0.1;0;0;0.01;UKIP;0.356;0.526;0.004;0.104;0.009;0;0;0
Islington North;Jeremy Corbyn;11;East Yorkshire;75162;0.15;0.36;0.1;0.26;0.11;0;0;0.02;LAB;0;0.998;0;0.001;0.001;0;0;0
Islington South and Finsbury;Emily Thornberry;11;East Yorkshire;70489;0.19;0.34;0.09;0.29;0.08;0;0;0.01;LAB;0;0.997;0;0.003;0;0;0;0
Jarrow;Kate Osborne;3;Cambridgeshire North;65103;0.32;0.28;0.11;0.2;0.08;0;0;0.01;CON;0.002;0.981;0;0.017;0;0;0;0
Keighley;Unknown (LAB gain from CON);5;Lancashire East;72778;0.26;0.26;0.06;0.27;0.14;0;0;0.01;UKIP;0.041;0.94;0;0.019;0;0;0;0
Kenilworth and Southam;Jeremy Wright;7;Dagenham and Redbridge;68154;0.24;0.35;0.07;0.16;0.09;0;0;0.09;LAB;0.598;0.217;0.118;0.066;0;0;0;0
Kensington;Unknown (LAB gain from CON);11;Dagenham and Redbridge;64609;0.19;0.38;0.07;0.14;0.14;0;0;0.07;LAB;0.062;0.923;0.002;0.012;0;0;0;0
Kettering;Unknown (LAB gain from CON);8;Suffolk West and Ipswich;73164;0.25;0.34;0.08;0.21;0.11;0;0;0.01;LAB;0.274;0.668;0;0.057;0;0;0;0
Kingston and Surbiton;Ed Davey;11;Isle of Wight and the New Forest;81975;0.29;0.17;0.11;0.25;0.16;0;0;0.01;CON;0.013;0.014;0.958;0.015;0;0;0;0
Kingswood;Unknown (LAB gain from CON);10;Isle of Wight and the New Forest;68972;0.28;0.31;0.1;0.22;0.08;0;0;0.01;LAB;0.184;0.778;0.002;0.035;0.001;0;0;0
Knowsley;George Howarth;4;Central London;84082;0.05;0.21;0.04;0.04;0.08;0;0.49;0.08;MIN;0;1;0;0;0;0;0;0
Lancashire West;Rosie Cooper;4;Central London;73347;0.09;0.44;0.12;0.1;0.23;0;0;0.02;LAB;0.009;0.988;0;0.003;0;0;0;0
Lancaster and Fleetwood;Cat Smith;4;Tyne and Wear South;70059;0.12;0.37;0.07;0.31;0.1;0;0;0.01;LAB;0.01;0.968;0;0.021;0.001;0;0;0
Leeds Central;Hilary Benn;5;Bradford;90971;0.34;0.3;0.06;0.19;0.08;0;0;0.02;CON;0;0.999;0;0.001;0;0;0;0
Leeds East;Richard Burgon;5;Warwickshire;67286;0.33;0.23;0.18;0.17;0.08;0;0;0.01;CON;0.001;0.987;0;0.012;0;0;0;0
Leeds North East;Fabian Hamilton;5;West London;70580;0.28;0.35;0.1;0.11;0.13;0;0;0.03;LAB;0;0.997;0;0.003;0;0;0;0
Leeds North West;Alex Sobel;5;Northamptonshire;67741;0.26;0.29;0.06;0.24;0.14;0;0;0.01;LAB;0.002;0.981;0.004;0.012;0.001;0;0;0
Leeds West;Rachel Reeves;5;South West London;67727;0.18;0.18;0.4;0.13;0.09;0;0;0.02;LIB;0;0.996;0;0.004;0;0;0;0
Leicester East;Claudia Webbe;8;Staffordshire South;78433;0.37;0.22;0.07;0.26;0.06;0;0;0.01;CON;0.004;0.993;0;0.003;0;0;0;0
Leicester South;Jonathan Ashworth;8;Merseyside East and Warrington;77708;0.09;0.48;0.07;0.22;0.12;0;0;0.01;LAB;0.001;0.997;0;0.002;0;0;0;0
Leicester West;Liz Kendall;8;Lancashire South;64940;0.2;0.38;0.08;0.23;0.1;0;0;0.01;LAB;0;0.995;0;0.004;0;0;0;0
Leicestershire North West;Unknown (LAB gain from CON);8;Lancashire West;78935;0.23;0.33;0.07;0.21;0.15;0;0;0.01;LAB;0.266;0.69;0;0.042;0;0;0;0
Leicestershire South;Alberto Costa;8;Leeds;80520;0.11;0.34;0.11;0.11;0.3;0;0;0.02;LAB;0.468;0.479;0.002;0.051;0;0;0;0
Leigh;Unknown (LAB gain from CON);4;Leeds;77417;0.18;0.35;0.07;0.25;0.13;0;0;0.02;LAB;0.018;0.961;0;0.02;0;0;0;0
Lewes;Unknown (LIB gain from CON);12;Leeds;71503;0.16;0.43;0.08;0.13;0.16;0;0;0.03;LAB;0.119;0.001;0.846;0.032;0.001;0;0;0
Lewisham Deptford;Vicky Foxcroft;11;Leeds;80631;0.21;0.38;0.12;0.17;0.1;0;0;0.01;LAB;0;1;0;0;0;0;0;0
Lewisham East;Janet Daby;11;Leeds;67857;0.15;0.39;0.08;0.13;0.22;0;0;0.04;LAB;0;0.998;0;0.002;0;0;0;0
Lewisham West and Penge;Ellie Reeves;11;Leeds;74617;0.22;0.34;0.07;0.26;0.1;0;0;0.01;LAB;0;0.997;0;0.003;0;0;0;0
Leyton and Wanstead;John Cryer;11;Leeds;64852;0.18;0.38;0.07;0.22;0.13;0;0;0.02;LAB;0;0.999;0;0.001;0;0;0;0
Lichfield;Michael Fabricant;7;Leicestershire East and Rutland;76616;0.29;0.24;0.13;0.17;0.1;0;0;0.07;CON;0.676;0.298;0.002;0.023;0;0;0;0
Lincoln;Unknown (LAB gain from CON);8;Leicestershire East and Rutland;74942;0.11;0.21;0.05;0.1;0.11;0;0.35;0.07;MIN;0.022;0.963;0;0.015;0;0;0;0
Liverpool Riverside;Kim Johnson;4;Leicestershire East and Rutland;80310;0.19;0.33;0.08;0.22;0.16;0;0;0.02;LAB;0;1;0;0;0;0;0;0
Liverpool Walton;Dan Carden;4;Leicestershire West;62628;0.32;0.26;0.07;0.25;0.09;0;0;0.01;CON;0;1;0;0;0;0;0;0
Liverpool Wavertree;Paula Barker;4;Leicestershire West;63458;0.29;0.28;0.06;0.26;0.08;0;0;0.02;CON;0;0.999;0;0.001;0;0;0;0
Liverpool West Derby;Ian Byrne;4;Leicestershire West;65640;0.31;0.22;0.13;0.26;0.07;0;0;0.01;CON;0;1;0;0;0;0;0;0
Loughborough;Unknown (LAB gain from CON);8;Manchester North West;79764;0.17;0.35;0.07;0.31;0.08;0;0;0.01;LAB;0.064;0.926;0;0.009;0;0;0;0
Louth and Horncastle;Victoria Atkins;8;Sussex East;79634;0.26;0.12;0.39;0.17;0.06;0;0;0.01;LIB;0.627;0.265;0;0.107;0;0;0;0
Ludlow;Philip Dunne;7;South East London;69444;0.12;0.47;0.09;0.13;0.17;0;0;0.02;LAB;0.766;0.119;0.061;0.053;0;0;0;0
Luton North;Sarah Owen;9;South East London;68185;0.07;0.47;0.1;0.08;0.26;0;0;0.02;LAB;0.002;0.994;0;0.003;0;0;0;0
Luton South;Rachel Hopkins;9;South East London;69338;0.08;0.5;0.1;0.08;0.22;0;0;0.01;LAB;0.004;0.99;0;0.005;0;0;0;0
Macclesfield;Unknown (LAB gain from CON);4;Lea Valley;76216;0.13;0.43;0.09;0.11;0.19;0;0;0.04;LAB;0.193;0.776;0;0.031;0;0;0;0
Maidenhead;Theresa May;12;Staffordshire South;76668;0.31;0.29;0.1;0.24;0.06;0;0;0.01;CON;0.857;0.091;0.05;0;0.001;0;0;0
Maidstone and The Weald;Helen Grant;12;Lincolnshire North;76109;0.22;0.33;0.09;0.24;0.11;0;0;0.02;LAB;0.603;0.255;0.077;0.064;0;0;0;0
Makerfield;Yvonne Fovargue;4;Merseyside East and Warrington;74190;0.11;0.47;0.1;0.17;0.12;0;0;0.04;LAB;0.004;0.979;0;0.016;0;0;0;0
Maldon;John Whittingdale;9;Merseyside West and Liverpool;72438;0.08;0.43;0.09;0.15;0.24;0;0;0.02;LAB;0.819;0.123;0.01;0.047;0;0;0;0
Manchester Central;Lucy Powell;4;Merseyside West and Liverpool;92247;0.08;0.51;0.07;0.21;0.12;0;0;0.01;LAB;0;1;0;0;0;0;0;0
Manchester Gorton;Afzal Khan;4;Merseyside West and Liverpool;76419;0.09;0.44;0.1;0.13;0.21;0;0;0.02;LAB;0;1;0;0;0;0;0;0
Manchester Withington;Jeff Smith;4;Merseyside West and Liverpool;76530;0.09;0.5;0.07;0.19;0.12;0;0;0.03;LAB;0;1;0;0;0;0;0;0
Mansfield;Unknown (LAB gain from CON);8;Leicestershire West;77131;0.26;0.32;0.09;0.22;0.11;0;0;0.01;LAB;0.119;0.836;0;0.045;0;0;0;0
Meon Valley;Flick Drummond;12;Lincolnshire South;75737;0.33;0.19;0.07;0.32;0.07;0;0;0.02;CON;0.77;0.07;0.124;0.036;0;0;0;0
Meriden;Saqib Bhatti;7;Suffolk East;85368;0.28;0.27;0.07;0.28;0.09;0;0;0.01;CON;0.684;0.274;0.003;0.037;0.001;0;0;0
Middlesbrough;Andy McDonald;3;Bedfordshire;60764;0.23;0.34;0.08;0.19;0.1;0;0;0.06;LAB;0.001;0.991;0;0.008;0;0;0;0
Middlesbrough South and Cleveland East;Unknown (LAB gain from CON);3;Bedfordshire;72348;0.21;0.33;0.09;0.19;0.11;0;0;0.06;LAB;0.24;0.76;0;0;0;0;0;0
Milton Keynes North;Unknown (LAB gain from CON);12;Cheshire;91545;0.26;0.38;0.08;0.19;0.08;0;0;0.01;LAB;0.067;0.91;0;0.022;0;0;0;0
Milton Keynes South;Unknown (LAB gain from CON);12;Buckinghamshire South;96363;0.33;0.16;0.33;0.09;0.07;0;0;0.02;CON;0.049;0.935;0.001;0.014;0;0;0;0
Mitcham and Morden;Siobhain McDonagh;11;Medway and Maidstone;70021;0.28;0.24;0.14;0.23;0.1;0;0;0.01;CON;0;0.998;0;0.002;0;0;0;0
Mole Valley;Unknown (LIB gain from CON);12;Lancashire South;74665;0.15;0.34;0.09;0.34;0.08;0;0;0.01;LAB;0.457;0.021;0.478;0.042;0;0;0;0
Morecambe and Lunesdale;Unknown (LAB gain from CON);4;Essex South East;67397;0.35;0.18;0.12;0.28;0.06;0;0;0.01;CON;0.06;0.901;0;0.037;0.001;0;0;0
Morley and Outwood;Unknown (LAB gain from CON);5;Manchester Central and Trafford;78803;0.1;0.38;0.1;0.17;0.22;0;0;0.03;LAB;0.049;0.913;0;0.037;0;0;0;0
New Forest East;Julian Lewis;12;Manchester Central and Trafford;73549;0.1;0.37;0.06;0.11;0.31;0;0;0.05;LAB;0.767;0.131;0.048;0.053;0;0;0;0
New Forest West;Desmond Swayne;12;Manchester Central and Trafford;70866;0.08;0.43;0.14;0.08;0.24;0;0;0.02;LAB;0.844;0.079;0.026;0.049;0.001;0;0;0
Newark;Unknown (LAB gain from CON);8;Nottinghamshire North;75850;0.27;0.29;0.05;0.3;0.07;0;0;0.01;UKIP;0.398;0.541;0.002;0.059;0;0;0;0
Newbury;Unknown (LIB gain from CON);12;Wiltshire South;83414;0.31;0.12;0.31;0.18;0.06;0;0;0.01;CON;0.438;0.046;0.469;0.046;0;0;0;0
Newcastle upon Tyne Central;Chi Onwurah;3;Leicestershire East and Rutland;57845;0.33;0.22;0.07;0.26;0.1;0;0;0.01;CON;0;0.998;0;0.002;0;0;0;0
