Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;11047;19930;1544;8236;2024;0;0;569;0.079;0.903;0.000;0.017;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;67805;6989;9707;23329;6205;2777;0;0;342;0.006;0.021;0.966;0.006;0.000;0.000;0.000;0.000
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;10194;17642;1079;4965;881;0;4420;1137;0.096;0.884;0.000;0.020;0.000;0.000;0.000;0.000
Battersea;Marsha De Cordova;11;Wandsworth;79350;8648;29681;3068;7083;4142;0;0;436;0.004;0.993;0.000;0.003;0.000;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;17795;9455;11340;8042;3116;0;0;583;0.745;0.082;0.140;0.032;0.000;0.000;0.000;0.000
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;14548;16892;4268;6877;3118;0;0;411;0.352;0.639;0.001;0.007;0.000;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;71581;7395;19970;2429;5826;2535;0;0;457;0.017;0.978;0.000;0.004;0.000;0.000;0.000;0.000
Bedfordshire Mid;Unknown (LAB gain from CON);9;Bedfordshire;87795;16361;17700;8570;7934;2280;0;1252;592;0.405;0.539;0.026;0.029;0.000;0.000;0.000;0.000
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;16542;19508;6551;8927;3306;0;0;642;0.342;0.628;0.004;0.025;0.000;0.000;0.000;0.000
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;13289;18059;4506;7568;3117;0;0;621;0.226;0.752;0.002;0.019;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;3154;29518;8108;6674;3604;0;0;414;0.000;0.997;0.003;0.000;0.000;0.000;0.000;0.000
Berwick-upon-Tweed;Unknown (LAB gain from CON);3;Northumberland;59939;10426;10992;5576;6013;1894;0;0;167;0.414;0.521;0.019;0.045;0.000;0.000;0.000;0.000
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;1573;35862;1339;5033;3218;0;0;714;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;14257;17772;4437;9058;2589;0;0;475;0.290;0.667;0.001;0.041;0.000;0.000;0.000;0.000
Bexhill and Battle;Huw Merriman;12;East Sussex;81963;17278;15010;6621;9006;3899;0;0;495;0.579;0.359;0.015;0.046;0.000;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Bexley;65466;12104;15180;1700;5719;1938;0;0;439;0.268;0.724;0.000;0.007;0.000;0.000;0.000;0.000
Birkenhead;Mick Whitley;4;Merseyside;63762;1860;20654;1366;6273;3841;0;0;1366;0.000;0.996;0.000;0.003;0.000;0.000;0.000;0.000
Birmingham Edgbaston;Preet Gill;7;Birmingham;68828;5516;20747;1321;4326;1844;0;0;341;0.002;0.997;0.000;0.001;0.000;0.000;0.000;0.000
Birmingham Erdington;Jack Dromey;7;Birmingham;66148;6743;15216;449;2748;803;0;282;333;0.023;0.977;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hall Green;Tahir Ali;7;Birmingham;80283;2539;25948;1029;3875;1569;0;0;365;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;78295;1280;20092;471;2686;1164;0;0;277;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;74912;866;23107;532;2273;1380;0;0;215;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Northfield;Unknown (LAB gain from CON);7;Birmingham;73694;6953;18931;1387;5280;2150;0;0;475;0.017;0.980;0.000;0.002;0.000;0.000;0.000;0.000
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;72006;2962;20807;898;3562;1230;0;0;302;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Selly Oak;Steve McCabe;7;Birmingham;82665;5153;26501;1450;5269;3112;0;0;434;0.001;0.997;0.000;0.002;0.000;0.000;0.000;0.000
Birmingham Yardley;Jess Phillips;7;Birmingham;74704;3589;18113;2258;5044;1506;0;0;362;0.001;0.997;0.000;0.002;0.000;0.000;0.000;0.000
Bishop Auckland;Unknown (LAB gain from CON);3;Durham;68170;8416;17692;1715;6574;1452;0;0;495;0.045;0.943;0.000;0.012;0.000;0.000;0.000;0.000
Blackburn;Kate Hollern;4;Lancashire;71234;3323;21508;469;3844;1180;0;0;366;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackley and Broughton;Graham Stringer;4;Central Manchester;73372;2090;21106;567;3934;1637;0;0;478;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackpool North and Cleveleys;Unknown (LAB gain from CON);4;Lancashire;63692;9218;16217;1024;5096;1643;0;0;470;0.086;0.910;0.000;0.004;0.000;0.000;0.000;0.000
Blackpool South;Unknown (LAB gain from CON);4;Lancashire;57690;6049;14526;707;4395;1378;0;0;454;0.026;0.972;0.000;0.002;0.000;0.000;0.000;0.000
