Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Lichfield;Unknown (Reform gain from LAB);7;Staffordshire;76118;11877;10495;5725;17149;3052;0;0;613;0.182;0.109;0.004;0.703;0.001;0.000;0.000;0.000
Lincoln;Unknown (Reform gain from LAB);8;Lincolnshire;72313;5864;12340;3933;14677;3513;0;564;387;0.014;0.334;0.002;0.649;0.001;0.000;0.000;0.000
Liverpool Garston;Maria Eagle;4;Merseyside;69282;2376;15153;5592;12282;3868;0;0;1920;0.000;0.691;0.006;0.300;0.003;0.000;0.000;0.000
Liverpool Riverside;Kim Johnson;4;Merseyside;71380;1185;10527;3450;10114;6724;0;0;836;0.000;0.509;0.002;0.431;0.057;0.000;0.000;0.000
Liverpool Walton;Dan Carden;4;Merseyside;69317;1325;14040;3033;13959;3660;0;0;553;0.000;0.503;0.000;0.497;0.000;0.000;0.000;0.000
Liverpool Wavertree;Paula Barker;4;Merseyside;70581;1779;13965;4975;9659;7547;0;0;1103;0.000;0.746;0.006;0.196;0.051;0.000;0.000;0.000
Liverpool West Derby;Ian Byrne;4;Merseyside;69934;1484;14366;3599;13119;3730;0;0;1234;0.000;0.604;0.000;0.396;0.000;0.000;0.000;0.000
Loughborough;Unknown (Reform gain from LAB);8;Leicestershire;68996;7685;11976;4296;13171;3595;0;0;246;0.054;0.361;0.005;0.578;0.001;0.000;0.000;0.000
Louth and Horncastle;Unknown (Reform gain from CON);8;Lincolnshire;76882;11277;6010;4377;20939;2719;0;0;1160;0.067;0.007;0.000;0.926;0.000;0.000;0.000;0.000
Lowestoft;Unknown (Reform gain from LAB);9;Suffolk;74332;8207;8153;3573;17925;3863;0;0;422;0.043;0.038;0.002;0.917;0.000;0.000;0.000;0.000
Luton North;Unknown (Reform gain from LAB);9;Bedfordshire;74866;4978;8757;4171;11910;2830;0;3203;1598;0.046;0.253;0.025;0.666;0.007;0.000;0.000;0.001
Luton South and South Bedfordshire;Unknown (Reform gain from LAB);9;Bedfordshire;76970;5135;8285;4116;11805;3205;0;3921;1237;0.051;0.212;0.030;0.694;0.012;0.000;0.000;0.000
Macclesfield;Tim Roca;4;Cheshire;76416;10341;17921;5201;13713;3360;0;0;645;0.070;0.665;0.001;0.263;0.000;0.000;0.000;0.000
