Country;Constituency;Area;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Brent West;London;London;Brent;76443;2100;5900;400;700;500;0;0;300
England;Brentford and Isleworth;London;London;Hounslow;76354;1700;5800;1000;700;600;0;0;200
England;Brentwood and Ongar;Eastern;East of England;Essex;74937;3600;2600;1000;2000;600;0;0;000
Wales;Bridgend;Wales;Wales;Mid Glamorgan;70770;2500;4900;300;1400;300;600;0;100
England;Bridgwater;South West;South West;Somerset;71418;3200;3600;1700;1100;300;0;0;000
England;Bridlington and The Wolds;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;72501;3600;3300;600;1900;400;0;0;000
England;Brigg and Immingham;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;71628;3800;3800;600;1400;300;0;0;0
England;Brighton Kemptown and Peacehaven;South East;South East;East Sussex;69865;2200;5700;500;0;1400;0;0;100
England;Brighton Pavilion;South East;South East;East Sussex;75722;400;5100;300;400;3400;0;0;200
England;Bristol Central;South West;South West;Bristol area;70227;400;4100;100;400;4600;0;0;300
England;Bristol East;South West;South West;Bristol area;75936;1300;6600;500;0;1400;0;0;200
England;Bristol North East;South West;South West;Bristol area;69793;2000;5400;600;1000;900;0;0;100
England;Bristol North West;South West;South West;Bristol area;76783;1700;5700;500;800;1100;0;0;100
England;Bristol South;South West;South West;Bristol area;74696;1600;5700;500;800;1200;0;0;100
England;Broadland and Fakenham;Eastern;East of England;Norfolk;72907;3300;2900;1500;1600;600;0;0;0
England;Bromley and Biggin Hill;London;London;Bromley;71515;3200;4200;900;1200;300;0;0;100
England;Bromsgrove;West Midlands;West Midlands;Hereford and Worcestershire;75305;3500;4000;600;1400;300;0;0;000
England;Broxbourne;Eastern;East of England;Hertfordshire;75454;3500;3400;600;1700;600;0;0;100
England;Broxtowe;East Midlands;East Midlands;Nottinghamshire;72461;2300;5100;300;1600;500;0;0;100
England;Buckingham and Bletchley;South East;South East;Buckinghamshire;73644;3100;4200;800;1200;600;0;0;100
England;Burnley;North West;North West;Lancashire;75436;2200;5300;500;1400;400;0;0;100
England;Burton and Uttoxeter;West Midlands;West Midlands;Staffordshire;75460;3100;4200;500;1600;300;0;0;100
England;Bury North;North West;North West;Western Manchester;77009;2600;5500;300;1100;400;0;0;100
England;Bury South;North West;North West;Western Manchester;74598;2300;5200;500;1400;400;0;0;100
England;Bury St Edmunds and Stowmarket;Eastern;East of England;Suffolk;75655;3000;3100;1000;1600;1200;0;0;000
Wales;Caerfyrddin;Wales;Wales;Dyfed;72683;1900;2500;400;1000;500;3500;0;100
Wales;Caerphilly;Wales;Wales;Gwent;72458;1500;5000;200;1500;400;1300;0;0
Scotland;Caithness, Sutherland and Easter Ross;Scotland;Scotland;Highland;75173;1100;1200;4200;200;300;2800;0;100
England;Calder Valley;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;75987;2900;5400;300;900;300;0;0;100
England;Camborne and Redruth;South West;South West;Cornwall;73568;2700;5000;600;1200;400;0;0;000
England;Cambridge;Eastern;East of England;Cambridgeshire;72560;900;5800;1600;0;1500;0;0;200
England;Cannock Chase;West Midlands;West Midlands;Staffordshire;75582;2900;4600;200;1800;400;0;0;0
England;Canterbury;South East;South East;Kent;75499;2200;5600;300;1100;600;0;0;100
Wales;Cardiff East;Wales;Wales;South Glamorgan;72463;1400;5800;800;700;700;400;0;200
Wales;Cardiff North;Wales;Wales;South Glamorgan;71143;2000;5800;500;900;400;300;0;0
