Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Folkestone and Hythe;Kent South;70055;12;1769;1786;626;3203;1598;0;0;1018;Reform
Forest of Dean;Gloucestershire;72052;10;2297;1670;600;3332;1403;0;0;699;Reform
Frome and East Somerset;Somerset East and Weston;71108;10;1732;1028;2435;2101;1786;0;0;918;LIB
Fylde;Lancashire West;77101;4;2791;1940;633;2667;937;0;0;1032;CON
Gainsborough;Lincolnshire North;75834;8;2760;1462;1094;3279;914;0;0;491;Reform
Gateshead Central and Whickham;Tyne and Wear South;69929;3;1120;2413;975;2762;1931;0;0;801;Reform
Gedling;Nottinghamshire South;77002;8;1909;2720;671;2316;1799;0;0;585;LAB
Gillingham and Rainham;Medway and Maidstone;73868;12;2080;1811;866;2976;1501;0;0;767;Reform
Glastonbury and Somerton;Somerset East and Weston;72574;10;2170;549;3359;2352;1064;0;0;506;LIB
Gloucester;Gloucestershire;79475;10;2161;1619;1245;2618;1605;0;406;346;Reform
Godalming and Ash;Surrey West and Aldershot;74199;12;3239;519;2954;2078;725;0;0;487;CON
Goole and Pocklington;East Yorkshire;77920;5;2827;1659;897;3123;1011;0;0;483;Reform
Gorton and Denton;Manchester East;77902;4;784;2579;440;2203;3047;0;947;0;Green
Gosport;Portsmouth;73266;12;3011;1256;990;3125;881;0;0;736;Reform
Grantham and Bourne;Lincolnshire South;73104;8;2626;1466;699;3465;1014;0;0;730;Reform
Gravesham;Kent West;73088;12;2694;1821;489;3084;1066;0;0;846;Reform
Great Grimsby and Cleethorpes;Lincolnshire North;78875;5;1718;2062;555;3453;1354;0;0;859;Reform
Great Yarmouth;Norfolk North;73318;9;1905;1618;552;3627;1002;0;0;1296;Reform
Greenwich and Woolwich;South East London;73728;11;1058;2913;655;1534;3097;0;401;341;Green
Guildford;Surrey West and Aldershot;70734;12;2271;666;3608;1629;1421;0;0;405;LIB
Hackney North and Stoke Newington;Hackney and Tower Hamlets;77798;11;708;2909;451;1062;4158;0;0;712;Green
Hackney South and Shoreditch;Hackney and Tower Hamlets;78263;11;581;2868;418;1103;4417;0;468;144;Green
Halesowen;Black Country;68480;7;2045;1770;935;3006;1507;0;0;736;Reform
Halifax;Huddersfield and Halifax;77589;5;1371;1955;586;2809;2105;0;764;410;Reform
Hamble Valley;Southampton;80430;12;2863;984;2106;2544;919;0;0;584;CON
Hammersmith and Chiswick;West London;75861;11;1443;2942;793;1319;2672;0;247;584;LAB
Hampshire East;Hampshire;70916;12;2806;768;2521;2401;893;0;0;611;CON
Hampshire North East;Hampshire;76975;12;2801;714;2768;2455;766;0;0;496;CON
Hampshire North West;Hampshire;78627;12;2714;1512;1406;2572;1115;0;0;681;CON
Hampstead and Highgate;Central London;79973;11;1385;2629;1019;1190;3016;0;0;761;Green
Harborough, Oadby and Wigston;Leicestershire East and Rutland;77407;8;3018;1737;1092;2147;1562;0;0;444;CON
Harlow;Essex South West;74995;9;2601;1796;493;3122;1093;0;0;893;Reform
Harpenden and Berkhamsted;Hertfordshire West;72004;9;2419;632;4010;1460;1093;0;0;386;LIB
Harrogate and Knaresborough;York;77534;5;2224;771;3586;1777;1251;0;0;391;LIB
Harrow East;Brent Harrow Barnet;76386;11;4212;1625;716;1292;1161;0;255;740;CON
Harrow West;Brent Harrow Barnet;79903;11;2418;2171;834;1425;2211;0;0;941;CON
Hartlepool;County Durham;71437;3;1704;2326;468;3318;1317;0;178;689;Reform
Harwich and North Essex;Essex North;76368;9;2811;1632;743;3046;1049;0;0;719;Reform
Hastings and Rye;Sussex East;75940;12;1551;2115;718;2531;2161;0;534;391;Reform
Havant;Portsmouth;72347;12;2327;1437;669;3698;1074;0;796;0;Reform
Hayes and Harlington;Southall;74405;11;1983;2549;547;1680;2124;0;1117;0;LAB
Hazel Grove;Manchester East;73397;4;1753;1581;2653;1975;1496;0;0;542;LIB
Hemel Hempstead;Hertfordshire West;71036;9;2139;1796;1393;2467;1626;0;0;578;Reform
Hendon;Brent Harrow Barnet;74866;11;2859;1958;698;1968;1693;0;662;162;CON
Henley and Thame;Oxfordshire;73748;12;2752;634;2766;2138;1060;0;0;651;LIB
Hereford and South Herefordshire;English Marches;72203;7;2640;1438;973;3123;1089;0;0;737;Reform
Herefordshire North;English Marches;72798;7;2390;593;485;2890;2818;0;0;824;Reform
Herne Bay and Sandwich;Kent East;77842;12;2472;1539;751;3568;983;0;0;688;Reform
Hertford and Stortford;Hertfordshire East;78710;9;1982;1871;1091;2465;2030;0;0;562;Reform
Hertfordshire North East;Hertfordshire East;77326;9;2655;1841;909;2617;1300;0;0;678;CON
Hertfordshire South West;Hertfordshire West;71352;9;3110;1185;1694;2087;1126;0;0;799;CON
Hertsmere;Hertfordshire West;73519;9;3299;1481;945;2552;1004;0;0;719;CON
Hexham;Northumberland;75342;3;2734;2754;826;1861;1270;0;0;556;LAB
Heywood and Middleton North;Manchester North East;74392;4;1361;2209;565;3100;1384;0;0;1381;Reform
