Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Rutland and Stamford;Leicestershire East and Rutland;71713;8;3261;1331;1245;2689;1041;0;0;435;CON
Salford;Manchester North West;83634;4;847;2584;513;2253;3083;0;560;161;Green
Salisbury;Wiltshire South;71553;10;2876;1619;1715;2044;1016;0;0;730;CON
Scarborough and Whitby;North Yorkshire;74558;5;1964;2100;857;3176;1355;0;0;548;Reform
Scunthorpe;Lincolnshire North;74551;5;2053;1962;654;3250;1407;0;0;674;Reform
Sefton Central;Merseyside East and Liverpool;73909;4;1401;3420;658;2353;1586;0;0;582;LAB
Selby;York;78051;5;1998;2672;659;2609;1447;0;0;615;LAB
Sevenoaks;Kent West;73709;12;2811;898;1986;2737;839;0;0;729;CON
Sheffield Brightside and Hillsborough;Sheffield;70453;5;862;2485;449;1851;3113;0;649;591;Green
Sheffield Central;Sheffield;60778;5;435;2186;377;746;5681;0;155;420;Green
Sheffield Hallam;Barnsley and Sheffield West;73033;5;1068;2876;2124;812;2684;0;91;345;LAB
Sheffield Heeley;Sheffield;73563;5;1009;2717;769;1577;3167;0;207;554;Green
Sheffield South East;Sheffield;73992;5;1382;2542;804;2013;2233;0;352;673;LAB
Sherwood Forest;Nottinghamshire North;78894;8;1994;1936;816;3289;1459;0;0;507;Reform
Shipley;Bradford;73828;5;1874;2527;784;2185;2115;0;111;404;LAB
Shrewsbury;English Marches;76490;7;1915;2236;1373;2195;1533;0;0;748;LAB
Shropshire North;English Marches;77712;7;1961;601;3408;2305;951;0;0;774;LIB
Shropshire South;English Marches;76334;7;2802;885;1951;3039;721;0;0;602;Reform
Sittingbourne and Sheppey;Medway and Maidstone;79067;12;1956;1312;707;3814;1177;0;0;1034;Reform
Skipton and Ripon;North Yorkshire;78768;5;2570;1809;968;2943;1207;0;0;503;Reform
Sleaford and North Hykeham;Lincolnshire South;75544;8;2629;1522;718;3423;977;0;0;730;Reform
Slough;Runnymede;81374;12;1578;1780;594;1176;2056;0;2817;0;MIN
Smethwick;Black Country;73065;7;1171;2309;447;2475;1940;0;948;710;Reform
Solihull West and Shirley;Birmingham South;71835;7;2652;1432;1381;2484;1324;0;727;0;CON
Somerset North;Avon South;74429;10;2602;2034;1113;2399;1284;0;568;0;CON
Somerset North East and Hanham;Avon South;73889;10;2282;1982;1223;2380;1575;0;0;558;Reform
South Holland and The Deepings;Lincolnshire South;78471;8;2634;1070;633;3982;752;0;0;928;Reform
South Ribble;Lancashire South;73420;4;2122;2250;970;2814;1393;0;0;451;Reform
South Shields;Tyne and Wear South;68356;3;872;2155;502;3230;2224;0;0;1018;Reform
Southampton Itchen;Southampton;68832;12;1881;2140;744;2495;1753;0;0;988;Reform
Southampton Test;Southampton;64943;12;1323;2174;704;2451;2267;0;734;347;Reform
Southend East and Rochford;Essex South East;70218;9;2005;1785;918;3021;1597;0;0;673;Reform
Southend West and Leigh;Essex South East;75154;9;2565;1819;684;2840;1271;0;0;820;Reform
Southgate and Wood Green;Enfield and Haringey;77541;11;1376;2843;752;1479;2637;0;470;443;LAB
Southport;Merseyside East and Liverpool;73610;4;2094;2276;1207;2243;1465;0;0;715;LAB
Spelthorne;Runnymede;73783;12;2332;1363;1737;2548;1382;0;0;637;Reform
Spen Valley;Wakefield and Dewsbury;72756;5;1918;2300;709;2412;1626;0;0;1035;Reform
St Albans;Hertfordshire West;72980;9;1608;894;3668;1366;1768;0;0;696;LIB
St Austell and Newquay;Cornwall;76154;10;1779;1761;1260;3289;1326;0;0;585;Reform
St Helens North;Lancashire South;75564;4;935;2656;513;3298;1858;0;0;740;Reform
St Helens South and Whiston;Merseyside East and Warrington;71540;4;758;2492;565;2987;2030;0;0;1168;Reform
St Ives;Cornwall;69980;10;1848;633;3652;2194;1013;0;0;660;LIB
St Neots and Mid Cambridgeshire;Cambridgeshire South;78115;9;2177;848;2974;1926;1416;0;0;659;LIB
Stafford;Staffordshire North;70609;7;2041;1981;805;2951;1570;0;0;652;Reform
Staffordshire Moorlands;Staffordshire North;69892;7;2389;1495;571;4137;809;0;0;599;Reform
Stalybridge and Hyde;Manchester East;72231;4;1362;2387;470;2861;1830;0;549;543;Reform
Stevenage;Hertfordshire East;70260;9;2136;2110;842;2530;1574;0;0;807;Reform
Stockport;Manchester East;76629;4;936;2650;736;2298;2594;0;702;83;LAB
Stockton North;Teesside;70073;3;1703;2440;525;2998;1560;0;0;773;Reform
Stockton West;Teesside;72252;3;3038;2162;672;2592;1046;0;0;490;CON
Stoke-on-Trent Central;Staffordshire North;74902;7;1262;1884;408;3458;1471;0;0;1517;Reform
Stoke-on-Trent North;Staffordshire North;68842;7;1909;1955;525;3180;1174;0;0;1257;Reform
Stoke-on-Trent South;Staffordshire North;68002;7;2639;1746;564;3115;865;0;0;1070;Reform
Stone, Great Wyrley and Penkridge;Staffordshire South;71560;7;3128;1652;914;2527;926;0;0;853;CON
Stourbridge;Black Country;68263;7;2537;1869;559;3005;1034;0;996;0;Reform
Stratford and Bow;Lea Valley;80439;11;702;2141;403;1081;4025;0;559;1089;Green
Stratford-on-Avon;Warwickshire;75162;7;2727;634;2740;2397;794;0;0;708;LIB
Streatham and Croydon North;Croydon;82911;11;1034;2756;709;1401;3385;0;486;229;Green
Stretford and Urmston;Manchester Central and Trafford;75154;4;1159;2847;495;2050;2441;0;943;65;LAB
Stroud;Gloucestershire;77885;10;1721;2543;722;2153;2123;0;0;737;LAB
Suffolk Central and North Ipswich;Suffolk East;73045;9;2426;1290;875;3057;1493;0;0;859;Reform
Suffolk Coastal;Suffolk East;74522;9;2020;1519;1496;2822;1630;0;0;513;Reform
Suffolk South;Suffolk West and Ipswich;73387;9;2448;1412;1016;3193;1246;0;0;686;Reform
Suffolk West;Suffolk West and Ipswich;77151;9;2727;1328;775;3374;993;0;0;802;Reform
Sunderland Central;Tyne and Wear South;75731;3;1245;2332;794;3002;1737;0;0;890;Reform
Surrey East;Surrey East;73308;12;2672;1097;1473;3119;1025;0;0;614;Reform
Surrey Heath;Surrey West and Aldershot;71936;12;3059;588;2755;2089;845;0;0;663;CON
Sussex Mid;Sussex West;76061;12;2113;1060;3174;1800;1364;0;0;489;LIB
Sussex Weald;Sussex East;72903;12;2712;1008;1377;2907;1123;0;0;875;Reform
Sutton and Cheam;Wimbledon and Sutton;72302;11;2288;1130;3018;1594;1399;0;0;570;LIB
Sutton Coldfield;Birmingham North;74081;7;2965;1912;820;2518;1012;0;773;0;CON
Swindon North;Swindon and Chippenham;72973;10;2459;2070;521;2980;1203;0;0;766;Reform
Swindon South;Swindon and Chippenham;72882;10;2015;2386;789;2493;1724;0;0;594;Reform
Tamworth;Staffordshire South;75129;7;2524;1613;484;3679;853;0;313;534;Reform
Tatton;Cheshire;75123;4;2910;2152;1099;2311;1161;0;0;368;CON
Taunton and Wellington;Somerset West and Barnstaple;78911;10;2042;697;3324;2118;1080;0;0;739;LIB
Telford;English Marches;73795;7;1688;2117;554;3339;1370;0;0;932;Reform
Tewkesbury;Gloucestershire;73592;10;2163;638;3206;2230;1273;0;0;490;LIB
Thanet East;Kent East;74939;12;1771;1993;561;2913;1680;0;0;1081;Reform
Thirsk and Malton;North Yorkshire;78151;5;2801;1419;1088;3207;966;0;0;518;Reform
Thornbury and Yate;Avon North;78195;10;2919;719;2559;2287;915;0;0;601;CON
Thurrock;Essex South West;73439;9;1854;2001;511;3058;1452;0;684;439;Reform
Tipton and Wednesbury;Black Country;73875;7;1901;1687;451;3379;1262;0;0;1319;Reform
Tiverton and Minehead;Somerset West and Barnstaple;71610;10;2632;675;2374;2743;862;0;0;714;Reform
Tonbridge;Kent West;71875;12;2751;1084;915;2885;1600;0;0;765;Reform
Tooting;Lambeth and Wandsworth;76218;11;1404;3119;723;1074;2988;0;412;280;LAB
Torbay;Devon South;76181;10;2065;558;3088;2761;923;0;603;0;LIB
Torridge and Tavistock;Devon Central and East;74725;10;2499;1184;1593;3199;859;0;0;666;Reform
Tottenham;Enfield and Haringey;75905;11;620;2852;411;1371;3756;0;181;809;Green
Truro and Falmouth;Cornwall;73051;10;1886;2295;1273;2088;1767;0;0;690;LAB
Tunbridge Wells;Kent South;78575;12;2216;764;3362;1924;1239;0;0;495;LIB
Twickenham;South West London;74980;11;1420;1082;3801;1199;1863;0;636;0;LIB
Tynemouth;Tyne and Wear North;73278;3;1424;3049;646;2262;1867;0;0;752;LAB
Uxbridge and South Ruislip;Southall;74746;11;2822;1956;699;2062;1616;0;0;845;CON
Vauxhall and Camberwell Green;Lambeth and Wandsworth;69901;11;741;3047;671;1300;3691;0;0;549;Green
Wakefield and Rothwell;Wakefield and Dewsbury;74786;5;1404;2319;711;2951;1714;0;425;477;Reform
Wallasey;Wirral and Chester North;74057;4;971;3195;522;2473;2082;0;530;226;LAB
Walsall and Bloxwich;Wolverhampton and Walsall;76995;7;1438;1669;519;2604;1634;0;0;2137;Reform
Walthamstow;Lea Valley;76275;11;619;3005;409;1164;3837;0;414;553;Green
Warrington North;Merseyside East and Warrington;70600;4;1257;2496;601;3349;1504;0;0;793;Reform
Warrington South;Merseyside East and Warrington;79255;4;2014;2599;899;2248;1662;0;0;578;LAB
Warwick and Leamington;Warwickshire;76293;7;1796;2463;907;1744;2388;0;0;701;LAB
Warwickshire North and Bedworth;Warwickshire;69752;7;2462;1713;481;3569;881;0;0;894;Reform
Washington and Gateshead South;Tyne and Wear South;70963;3;1036;2496;515;3678;1403;0;0;872;Reform
Watford;Hertfordshire West;72999;9;2395;1720;1511;1517;1850;0;946;60;CON
Waveney Valley;Suffolk East;73057;9;1804;661;639;2878;3395;0;0;624;Green
Weald of Kent;Kent South;75297;12;2716;1329;948;3217;1084;0;0;705;Reform
Wellingborough and Rushden;Northamptonshire;78741;8;1928;2028;820;3186;1636;0;0;403;Reform
Wells and Mendip Hills;Somerset East and Weston;69933;10;2010;737;3255;1971;1134;0;0;893;LIB
Welwyn Hatfield;Hertfordshire East;75259;9;2933;1963;697;2381;1398;0;0;628;CON
West Bromwich;Black Country;74095;7;1757;2291;564;2516;1601;0;0;1270;Reform
West Ham and Beckton;Lea Valley;78906;11;1011;2181;403;1715;2965;0;1582;143;Green
Westmorland and Lonsdale;Cumbria;71996;4;1629;731;4097;1783;1222;0;0;539;LIB
Weston-super-Mare;Somerset East and Weston;71397;10;2003;1820;1155;2920;1501;0;0;601;Reform
Wetherby and Easingwold;York;75587;5;2859;1944;940;2390;1302;0;0;564;CON
Whitehaven and Workington;Cumbria;72795;4;1604;2785;548;3155;1301;0;0;607;Reform
Widnes and Halewood;Merseyside East and Warrington;71180;4;849;3114;478;3093;1770;0;696;0;LAB
Wigan;Lancashire South;77514;4;982;2437;466;3471;1470;0;0;1175;Reform
Wiltshire East;Wiltshire South;73856;10;2633;1475;1496;2801;930;0;0;665;Reform
Wiltshire South West;Wiltshire South;72809;10;2793;1392;1202;2876;981;0;0;756;Reform
Wimbledon;Wimbledon and Sutton;76329;11;2061;1432;3258;909;1764;0;317;258;LIB
Winchester;Hampshire;78291;12;2099;562;4056;1524;1327;0;0;430;LIB
Windsor;Runnymede;73470;12;2900;1219;1721;2261;1158;0;205;537;CON
Wirral West;Wirral and Chester North;72863;4;2095;3047;891;1701;1684;0;0;582;LAB
Witham;Essex North;79073;9;2584;1428;835;3262;1085;0;0;806;Reform
Witney;Oxfordshire;75447;12;2694;773;2445;2307;1029;0;0;752;CON
Woking;Surrey West and Aldershot;72976;12;2199;635;3779;1656;1313;0;0;419;LIB
Wokingham;Berkshire;73952;12;3028;698;3029;1626;1011;0;0;609;LIB
Wolverhampton North East;Wolverhampton and Walsall;70270;7;1874;1822;659;3487;1405;0;0;753;Reform
Wolverhampton South East;Wolverhampton and Walsall;78243;7;1357;2099;409;3388;1486;0;1262;0;Reform
Wolverhampton West;Wolverhampton and Walsall;78349;7;2272;2325;621;1920;1662;0;242;958;LAB
Worcester;Worcestershire;74932;7;1721;2020;840;2421;2143;0;0;854;Reform
Worcestershire West;Worcestershire;79086;7;2469;953;1818;3070;1126;0;0;564;Reform
Worsley and Eccles;Manchester North West;78344;4;1273;2594;507;2889;1851;0;357;528;Reform
Worthing East and Shoreham;South Coast;74737;12;1961;2501;816;2334;1560;0;0;829;LAB
Worthing West;South Coast;77037;12;2598;2168;635;2644;1196;0;0;759;Reform
Wrekin, The;English Marches;79365;7;2755;1532;822;3051;1063;0;0;777;Reform
Wycombe;Buckinghamshire South;75128;12;2185;1959;1189;1562;1774;0;747;585;CON
Wyre Forest;Worcestershire;77394;7;2519;1579;645;3286;902;0;0;1068;Reform
Wythenshawe and Sale East;Manchester Central and Trafford;77765;4;1068;2718;494;2475;2445;0;549;251;LAB
Yeovil;Somerset East and Weston;79931;10;1973;629;3331;2142;1067;0;0;857;LIB
York Central;York;79559;5;985;3001;585;1912;2930;0;0;587;LAB
York Outer;York;76228;5;2251;2281;1518;1885;1710;0;0;356;LAB
Aberafan Maesteg;West Glamorgan;72363;6;724;1393;547;2790;1338;2582;0;625;Reform
Alyn and Deeside;Clwyd;75790;6;1294;1274;760;2952;1230;1872;0;618;Reform
Bangor Aberconwy;Gogledd Cymru;69022;6;1367;1053;813;2013;1274;3027;0;453;Plaid
Blaenau Gwent and Rhymney;Gwent;70154;6;869;1450;601;1959;1589;2721;141;670;Plaid
Brecon, Radnor and Cwm Tawe;Gorllewin Cymru a'r Canolbarth;73116;6;1741;814;2396;2018;1002;1596;0;431;LIB
Bridgend;Cardiff and Bridgend;72999;6;1199;1278;690;2510;1325;2259;0;739;Reform
Caerfyrddin (Carmarthen);Gorllewin Cymru a'r Canolbarth;74002;6;920;645;580;2432;987;3978;198;259;Plaid
Caerphilly;The Valleys;71666;6;712;982;605;2612;1341;3214;0;535;Plaid
Cardiff East;Cardiff and Bridgend;72872;6;866;1296;1261;1532;2315;2242;0;487;Green
Cardiff North;Cardiff and Bridgend;71336;6;1637;1778;1031;1321;1828;1949;0;456;Plaid
Cardiff South and Penarth;Cardiff and Bridgend;72613;6;957;1340;721;1420;2544;2579;0;440;Plaid
Cardiff West;Cardiff and Bridgend;75800;6;1049;1245;620;1628;1702;3184;0;573;Plaid
Ceredigion Preseli;Gorllewin Cymru a'r Canolbarth;75550;6;628;452;1108;1830;1063;4548;371;0;Plaid
Clwyd East;Clwyd;76639;6;1894;1142;1045;2565;1197;1838;0;319;Reform
Clwyd North;Clwyd;75028;6;2352;1080;689;2819;967;1650;0;442;Reform
Dwyfor Meirionnydd;Gogledd Cymru;73045;6;607;447;499;1976;966;5114;0;391;Plaid
Gower;West Glamorgan;75779;6;1385;1579;836;2214;1438;1992;0;557;Reform
Llanelli;Gorllewin Cymru a'r Canolbarth;71535;6;745;888;527;2994;1062;3208;0;576;Plaid
Merthyr Tydfil and Aberdare;The Valleys;74407;6;693;1256;567;2854;1339;2646;307;339;Reform
Monmouthshire;Gwent;74824;6;2512;1577;993;2315;1123;1067;0;413;CON
Montgomeryshire and Glyndwr;Gogledd Cymru;74048;6;1248;1052;1405;2557;1176;1967;0;595;Reform
Neath and Swansea East;West Glamorgan;77271;6;792;1188;718;2906;1409;2457;0;530;Reform
Newport East;Gwent;76844;6;1183;1293;706;2441;1543;2070;0;764;Reform
Newport West and Islwyn;Gwent;76758;6;1174;1361;676;2440;1377;2263;0;710;Reform
Pembrokeshire Mid and South;Gorllewin Cymru a'r Canolbarth;79169;6;2398;1093;787;2868;908;1497;0;449;Reform
Pontypridd;The Valleys;75601;6;768;1258;581;2382;1505;2736;0;771;Plaid
Rhondda and Ogmore;The Valleys;74571;6;573;1310;475;2868;1403;2784;0;588;Reform
Swansea West;West Glamorgan;73970;6;866;1204;977;2122;1815;2443;0;573;Plaid
Torfaen;Gwent;71737;6;1117;1265;631;2845;1272;2213;0;658;Reform
Vale of Glamorgan;Cardiff and Bridgend;74375;6;1903;1165;1025;2268;1415;1846;0;378;Reform
Wrexham;Clwyd;70267;6;1688;1235;904;2321;1242;2090;0;520;Reform
Ynys Mon (Anglesey);Gogledd Cymru;53140;6;1451;585;707;2350;991;3665;0;252;Plaid
Aberdeen North;Moray and Aberdeenshire;76202;2;1416;1015;613;1531;1131;3643;0;650;SNP
Aberdeen South;Moray and Aberdeenshire;77049;2;2454;741;630;1233;1057;3446;0;439;SNP
Aberdeenshire North and Moray East;Moray and Aberdeenshire;70876;2;3286;32;728;1765;403;3616;0;170;SNP
Aberdeenshire West and Kincardine;Moray and Aberdeenshire;75384;2;3570;174;1294;1070;676;2964;0;252;CON
Airdrie and Shotts;Lanarkshire;68418;2;492;2044;198;1783;1272;3382;0;830;SNP
Alloa and Grangemouth;Forth Valley;71473;2;784;1670;279;1772;1455;3149;114;777;SNP
Angus and Perthshire Glens;Heart of Scotland;74723;2;3026;237;666;1062;492;4156;0;362;SNP
Arbroath and Broughty Ferry;Heart of Scotland;77915;2;1571;1163;509;1543;891;3737;0;585;SNP
Argyll, Bute and South Lochaber;Highlands and Islands;72056;2;2098;469;1639;1132;592;3610;0;459;SNP
Ayr, Carrick and Cumnock;South West Scotland;70295;2;2281;1314;264;1597;1173;2853;0;518;SNP
Ayrshire Central;South West Scotland;69525;2;1509;1665;237;1673;1359;2965;0;592;SNP
Ayrshire North and Arran;South West Scotland;72154;2;1432;1476;238;1593;1341;3377;0;544;SNP
Bathgate and Linlithgow;Forth Valley;72139;2;774;1827;516;1739;1509;2994;0;642;SNP
Berwickshire, Roxburgh and Selkirk;Southern Scotland;75951;2;4064;198;791;1081;803;2746;0;318;CON
Caithness, Sutherland and Easter Ross;Highlands and Islands;75793;2;411;18;4936;956;653;2728;0;298;LIB
Coatbridge and Bellshill;Lanarkshire;73831;2;385;1964;173;1617;1554;3628;0;679;SNP
Cowdenbeath and Kirkcaldy;Fife;71668;2;811;1765;390;1647;1532;3062;0;793;SNP
Cumbernauld and Kirkintilloch;Lanarkshire;71473;2;499;1738;315;1644;1553;3770;0;480;SNP
Dumfries and Galloway;South West Scotland;79554;2;2972;789;457;1501;1003;2920;0;358;CON
Dumfriesshire, Clydesdale and Tweeddale;Southern Scotland;71322;2;3408;654;633;1378;1009;2588;0;330;CON
Dunbartonshire Mid;Dunbartonshire and Glasgow North;72474;2;479;553;4237;878;955;2549;0;350;LIB
Dunbartonshire West;Dunbartonshire and Glasgow North;68781;2;400;1914;212;1629;1593;3641;0;611;SNP
Dundee Central;Heart of Scotland;72961;2;427;1402;618;1369;995;4231;88;872;SNP
Dunfermline and Dollar;Fife;71269;2;767;1762;713;1527;1617;2981;0;633;SNP
East Kilbride and Strathaven;Clyde Valley;76415;2;787;1903;230;1649;1598;3196;0;637;SNP
Edinburgh East and Musselburgh;Edinburgh;76094;2;594;1546;427;1275;2081;3552;0;525;SNP
Edinburgh North and Leith;Edinburgh;82933;2;682;1586;783;1189;2169;2984;0;607;SNP
Edinburgh South;Edinburgh;69057;2;884;2136;586;1397;2223;1952;0;822;Green
Edinburgh South West;Edinburgh;74691;2;1241;1528;659;1259;1805;2968;0;540;SNP
Edinburgh West;Edinburgh;73236;2;564;266;5077;807;905;2056;0;325;LIB
Falkirk;Forth Valley;74200;2;864;1634;256;1629;1496;3384;0;738;SNP
Fife North East;Fife;69762;2;399;23;5472;779;764;2405;0;159;LIB
Glasgow East;Clyde Valley;69492;2;507;1673;246;1519;1881;3574;0;600;SNP
Glasgow North;Dunbartonshire and Glasgow North;69255;2;418;1592;328;1300;2295;3448;0;618;SNP
Glasgow North East;Dunbartonshire and Glasgow North;70329;2;373;1772;173;1549;1879;3494;0;760;SNP
Glasgow South;Renfrewshire and Glasgow South;70608;2;406;1571;310;1226;2378;3442;0;666;SNP
Glasgow South West;Renfrewshire and Glasgow South;68078;2;414;1661;268;1473;1871;3694;0;618;SNP
Glasgow West;Dunbartonshire and Glasgow North;69874;2;458;1811;329;1421;2089;3321;0;571;SNP
Glenrothes and Mid Fife;Fife;70980;2;572;1693;443;1833;1120;3867;0;472;SNP
Gordon and Buchan;Moray and Aberdeenshire;66002;2;3298;58;1665;1206;415;3184;0;175;CON
Hamilton and Clyde Valley;Clyde Valley;75044;2;1119;1970;359;1732;1240;3030;0;550;SNP
Inverclyde and Renfrewshire West;Renfrewshire and Glasgow South;69070;2;736;1823;312;1513;1467;3384;0;765;SNP
Inverness, Skye and West Ross-shire;Highlands and Islands;77708;2;531;170;3778;965;887;3436;0;232;LIB
Kilmarnock and Loudoun;South West Scotland;74586;2;856;1723;200;1684;1424;3542;0;572;SNP
Livingston;Forth Valley;78088;2;798;1528;451;1689;1429;3542;0;564;SNP
Lothian East;Southern Scotland;75157;2;1179;1923;550;1564;1734;2421;0;630;SNP
Midlothian;Southern Scotland;73916;2;763;1907;586;1669;1212;3294;0;570;SNP
Moray West, Nairn and Strathspey;Moray and Aberdeenshire;76222;2;3012;401;812;1180;923;3344;0;328;SNP
Motherwell, Wishaw and Carluke;Lanarkshire;72884;2;647;1930;210;1704;1530;3378;0;601;SNP
Na h-Eileanan An Iar (Western Isles);Highlands and Islands;21236;2;506;1947;282;1455;1230;2395;0;2184;SNP
Orkney and Shetland;Highlands and Islands;34235;2;290;18;5505;988;1278;1800;0;122;LIB
Paisley and Renfrewshire North;Renfrewshire and Glasgow South;71361;2;667;1832;331;1680;1534;3458;0;497;SNP
Paisley and Renfrewshire South;Renfrewshire and Glasgow South;72316;2;565;1848;318;1624;1605;3436;0;604;SNP
Perth and Kinross-shire;Heart of Scotland;78299;2;2969;414;734;1028;569;3911;0;375;SNP
Renfrewshire East;Renfrewshire and Glasgow South;73380;2;1716;1665;229;1317;1409;2946;0;718;SNP
Rutherglen;Clyde Valley;72674;2;598;1998;403;1589;1252;3277;0;883;SNP
Stirling and Strathallan;Heart of Scotland;76687;2;1923;1187;508;1321;1368;3314;0;380;SNP
Antrim East;Antrim and the Lagan Valley;73302;1;9497;886;11479;10142;4102;2969;0;599;UNK
Antrim North;Antrim and the Lagan Valley;74697;1;3926;1650;11212;4474;11608;7690;0;624;UNK
Antrim South;Antrim and the Lagan Valley;77058;1;16333;1579;8816;4559;2671;8009;0;941;UNK
Belfast East;Belfast;72917;1;1829;615;19902;17203;1902;0;0;1255;UNK
Belfast North;Belfast;74240;1;21;1404;12079;4260;2853;17651;0;2184;UNK
Belfast South and Mid Down;Belfast;74749;1;2672;21317;6874;8824;2200;0;0;1605;UNK
Belfast West;Belfast;75346;1;482;4293;4321;1073;1993;20986;5048;1547;UNK
Down North;Armagh and Down;73885;1;6760;653;5;13593;0;0;20913;1373;UNK
Down South;Armagh and Down;76248;1;1436;10389;7369;3176;1877;19672;0;1324;UNK
Fermanagh and South Tyrone;Ulster West;77828;1;20289;2371;13;2412;0;24815;0;1177;UNK
Foyle;Ulster West;73496;1;1438;15623;3927;1264;0;11459;0;4648;UNK
Lagan Valley;Antrim and the Lagan Valley;82201;1;11170;1021;15669;18601;2168;0;0;452;UNK
Londonderry East;Ulster West;75707;1;3442;5234;11529;3721;4329;11303;0;1719;UNK
Newry and Armagh;Armagh and Down;78244;1;3205;6777;5924;2683;4065;22273;0;1016;UNK
Strangford;Armagh and Down;74525;1;3961;1772;15575;10414;3117;2777;0;1292;UNK
Tyrone West;Ulster West;74269;1;2708;5793;6814;2279;2509;22686;0;906;UNK
Ulster Mid;Ulster West;74000;1;2294;3698;9182;1994;2954;24059;0;1265;UNK
Upper Bann;Armagh and Down;81249;1;3678;1486;21655;6305;0;14209;0;24;UNK
