Country;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Eltham and Chislehurst;London;Greenwich;74179;2570;4840;540;1250;440;0;0;360
England;Ely and East Cambridgeshire;East of England;Cambridgeshire;76279;3350;1810;3610;840;450;0;0;-070
England;Enfield North;London;Enfield;76824;1600;5740;640;1160;590;0;0;270
England;Epping Forest;East of England;Essex;74553;3560;3400;1300;0;1040;0;0;700
England;Epsom and Ewell;South East;Surrey;76844;3380;2030;3200;890;570;0;0;-080
England;Erewash;East Midlands;Derbyshire;71986;2420;3950;640;1850;580;0;0;550
England;Erith and Thamesmead;London;Greenwich;76728;1260;6200;530;1160;570;0;0;280
England;Esher and Walton;South East;Surrey;73280;2960;1110;4750;740;480;0;0;-040
England;Exeter;South West;Devon;71713;1360;5550;690;1000;1060;0;0;340
England;Exmouth and Exeter East;South West;Devon;74502;2370;2040;2180;1880;730;0;0;800
England;Fareham and Waterlooville;South East;Hampshire;77036;2650;2200;1800;2160;740;0;0;450
England;Farnham and Bordon;South East;Surrey;72938;3600;1250;3770;900;480;0;0;0
England;Faversham and Mid Kent;South East;Kent;71798;2680;2570;1170;2240;800;0;0;550
England;Feltham and Heston;London;Hounslow;75226;1600;5590;650;1310;590;0;0;270
England;Filton and Bradley Stoke;South West;Bristol area;73598;3410;4660;720;750;460;0;0;0
England;Finchley and Golders Green;London;Barnet;75761;3210;3740;2080;560;410;0;0;0
England;Folkestone and Hythe;South East;Kent;70023;2920;3370;740;1760;640;0;0;560
England;Forest of Dean;South West;Gloucestershire;71510;3000;3590;510;1530;740;0;0;640
England;Frome and East Somerset;South West;Somerset;70177;3020;2280;3230;760;750;0;0;-030
England;Fylde;North West;Lancashire;75114;2720;3140;790;2030;680;0;0;640
England;Gainsborough;East Midlands;Lincolnshire;74750;2820;2730;1030;2140;590;0;0;690
England;Gateshead Central and Whickham;North East;Newcastle area;70994;1460;5050;1190;1490;560;0;0;250
England;Gedling;East Midlands;Nottinghamshire;75795;3050;5340;330;1020;260;0;0;0
England;Gillingham and Rainham;South East;Kent;73951;3130;3560;510;1780;350;0;0;680
England;Glastonbury and Somerton;South West;Somerset;70015;3430;1440;3760;850;520;0;0;0
England;Gloucester;South West;Gloucestershire;76695;2900;4340;570;1400;390;0;0;410
England;Godalming and Ash;South East;Surrey;71399;3350;1390;4040;830;460;0;0;-070
England;Goole and Pocklington;Yorkshire and The Humber;Humber area;76337;2830;2690;830;2150;740;0;0;760
England;Gorton and Denton;North West;Central Manchester;74306;840;6920;990;680;360;0;0;210
England;Gosport;South East;Hampshire;73763;2830;2460;1150;2340;740;0;0;480
England;Grantham and Bourne;East Midlands;Lincolnshire;72071;2840;2640;850;2310;780;0;0;570
England;Gravesham;South East;Kent;72866;3350;3870;440;1930;420;0;0;0
England;Great Grimsby and Cleethorpes;Yorkshire and The Humber;Humber area;77050;3510;4170;430;1620;250;0;0;030
England;Great Yarmouth;East of England;Norfolk;70077;2650;2930;500;2620;590;0;0;710
England;Greenwich and Woolwich;London;Greenwich;69824;1020;5800;1430;760;730;0;0;250
England;Guildford;South East;Surrey;71367;3010;1320;4760;750;430;0;0;-270
England;Hackney North and Stoke Newington;London;Hackney;75401;580;7110;880;410;870;0;0;140
England;Hackney South and Shoreditch;London;Hackney;75197;460;7500;870;340;720;0;0;100
England;Halesowen;West Midlands;Black Country;69907;2640;3870;540;2370;580;0;0;0
England;Halifax;Yorkshire and The Humber;West Yorkshire;74563;2340;5360;510;1130;350;0;0;320
England;Hamble Valley;South East;Hampshire;76902;2940;1600;2670;1820;510;0;0;470
England;Hammersmith and Chiswick;London;Hammersmith and Fulham;74746;1370;5490;1370;980;560;0;0;240
England;Hampstead and Highgate;London;Camden;74222;1040;5060;2390;740;600;0;0;180
England;Harborough, Oadby and Wigston;East Midlands;Leicestershire;74810;2380;3030;1620;1820;670;0;0;480
England;Harlow;East of England;Essex;73479;3290;3740;440;1690;360;0;0;470
England;Harpenden and Berkhamsted;East of England;Hertfordshire;71635;3570;1650;3540;890;600;0;0;-240
England;Harrogate and Knaresborough;Yorkshire and The Humber;North Yorkshire;75800;2440;1200;3970;1450;330;0;0;610
England;Harrow East;London;Harrow;76299;3550;4800;560;700;400;0;0;0
England;Harrow West;London;Harrow;74060;1560;5720;810;1110;540;0;0;270
England;Hartlepool;North East;Teesside;71228;1990;4460;320;3020;140;0;0;070
England;Harwich and North Essex;East of England;Essex;74838;2670;3320;1070;2200;740;0;0;0
England;Hastings and Rye;South East;East Sussex;75581;2550;4840;510;1220;410;0;0;460
England;Havant;South East;Hampshire;72766;2720;2360;1130;2580;680;0;0;540
England;Hayes and Harlington;London;Hillingdon;72897;1570;6050;440;1210;430;0;0;310
England;Hazel Grove;North West;Eastern Manchester;72941;2160;1680;4190;1340;290;0;0;350
England;Hemel Hempstead;East of England;Hertfordshire;70496;3180;3990;830;1500;500;0;0;0
England;Hendon;London;Barnet;71496;3230;5090;620;630;420;0;0;0
England;Henley and Thame;South East;Oxfordshire;70626;3360;1380;3800;840;630;0;0;0
England;Hereford and South Herefordshire;West Midlands;Hereford and Worcestershire;71125;2600;2530;1520;2090;810;0;0;440
England;Herne Bay and Sandwich;South East;Kent;76028;2610;2870;710;2960;850;0;0;0
England;Hertford and Stortford;East of England;Hertfordshire;75396;2460;2960;1370;1840;770;0;0;600
England;Hertsmere;East of England;Hertfordshire;73256;2860;2800;1050;2140;670;0;0;490
England;Hexham;North East;Northumberland;72738;2890;4520;1290;0;800;0;0;500
England;Heywood and Middleton North;North West;Eastern Manchester;73306;2810;4810;460;1910;0;0;0;0
England;High Peak;East Midlands;Derbyshire;73960;2540;5360;490;1130;480;0;0;0
England;Hinckley and Bosworth;East Midlands;Leicestershire;75683;2820;2100;1740;2170;690;0;0;480
England;Hitchin;East of England;Hertfordshire;72112;3420;3960;1630;660;390;0;0;-060
England;Holborn and St Pancras;London;Camden;75475;680;6860;1210;490;600;0;0;160
England;Honiton and Sidmouth;South West;Devon;74365;2800;1610;2530;1830;410;0;0;810
England;Hornchurch and Upminster;London;Havering;76938;2600;2680;620;2890;680;0;0;530
England;Hornsey and Friern Barnet;London;Haringey;70565;360;5960;2770;350;410;0;0;150
England;Horsham;South East;West Sussex;76981;2640;1710;3030;1630;480;0;0;510
England;Houghton and Sunderland South;North East;Newcastle area;76883;2280;5130;470;1780;340;0;0;0
England;Hove and Portslade;South East;East Sussex;73726;1760;5640;1090;300;960;0;0;250
England;Huddersfield;Yorkshire and The Humber;West Yorkshire;76044;1610;5510;890;1260;740;0;0;0
England;Huntingdon;East of England;Cambridgeshire;75590;2560;2650;1330;2120;670;0;0;680
England;Hyndburn;North West;Lancashire;69971;3130;5080;250;1330;230;0;0;0
England;Ilford North;London;Redbridge;74684;1620;5780;530;1180;420;0;0;470
England;Ilford South;London;Redbridge;74065;920;6630;600;680;360;0;0;810
England;Ipswich;East of England;Suffolk;75117;2700;4730;530;1280;380;0;0;380
England;Isle of Wight East;South East;Hampshire;56805;2170;2590;900;2110;1470;0;0;760
England;Isle of Wight West;South East;Hampshire;54911;2080;2600;930;2020;1660;0;0;710
England;Islington North;London;Islington;73970;490;4130;1070;360;1060;0;0;2890
England;Islington South and Finsbury;London;Islington;75905;740;5960;1950;540;660;0;0;160
England;Jarrow and Gateshead East;North East;Newcastle area;71106;1060;5210;750;1470;460;0;0;1050
England;Keighley and Ilkley;Yorkshire and The Humber;West Yorkshire;72954;2520;5020;390;1160;420;0;0;500
England;Kenilworth and Southam;West Midlands;Warwickshire;71541;2620;2540;1650;1910;750;0;0;530
England;Kensington and Bayswater;London;Kensington and Chelsea;75980;2280;4800;1320;940;340;0;0;320
England;Kettering;East Midlands;Northamptonshire;76163;2610;3270;640;1930;790;0;0;760
England;Kingston and Surbiton;London;Kingston upon Thames;75410;1590;1100;5550;920;450;0;0;390
England;Kingston upon Hull East;Yorkshire and The Humber;Humber area;72622;2250;5060;690;1660;330;0;0;0
England;Kingston upon Hull North and Cottingham;Yorkshire and The Humber;Humber area;76039;1480;5020;1210;1520;510;0;0;250
England;Kingston upon Hull West and Haltemprice;Yorkshire and The Humber;Humber area;74321;2610;4350;780;1590;330;0;0;330
England;Kingswinford and South Staffordshire;West Midlands;Staffordshire;71896;3170;2400;650;2500;740;0;0;540
England;Knowsley;North West;Merseyside;71228;390;8090;550;360;460;0;0;150
England;Lancaster and Wyre;North West;Lancashire;74992;2690;5190;410;1200;500;0;0;0
England;Leeds Central and Headingley;Yorkshire and The Humber;West Yorkshire;75396;1120;6120;1360;280;1000;0;0;120
