Country;Constituency;Area;County;Electorate;CON;LAB;LIB;Green;NAT;MIN;UKIP;OTH
England;Manchester Central;North West;Central Manchester;75311;1200;6300;1000;900;000;000;600;000
England;Manchester Rusholme;North West;Central Manchester;70692;600;8300;000;900;000;000;300;000
England;Manchester Withington;North West;Central Manchester;71614;700;6700;1700;800;000;000;200;000
England;Mansfield;East Midlands;Nottinghamshire;74680;4000;4000;300;100;000;000;1500;200
England;Melksham and Devizes;South West;Wiltshire;71823;2900;1500;3300;600;000;000;1700;000
England;Melton and Syston;East Midlands;Leicestershire;71615;2800;3000;700;1000;000;000;2000;400
England;Meriden and Solihull East;West Midlands;Coventry and Solihull;74211;2900;2900;1200;1000;000;000;2000;000
England;Mid Bedfordshire;East of England;Bedfordshire;71748;3800;3700;900;500;000;000;900;200
England;Mid Buckinghamshire;South East;Buckinghamshire;72240;2600;2200;1700;900;000;000;2300;400
England;Mid Cheshire;North West;Cheshire;69775;2600;5000;500;400;000;000;1100;300
England;Mid Derbyshire;East Midlands;Derbyshire;70085;2700;3400;900;800;000;000;1900;400
England;Mid Dorset and North Poole;South West;Dorset;74305;3500;1400;3900;800;000;000;000;500
England;Mid Leicestershire;East Midlands;Leicestershire;76173;2900;3400;800;900;000;000;2100;000
England;Mid Norfolk;East of England;Norfolk;71060;2900;3100;900;800;000;000;2300;000
England;Mid Sussex;South East;West Sussex;72255;2500;1800;3100;600;000;000;1400;500
England;Middlesbrough and Thornaby East;North East;Teesside;71742;1400;5800;700;400;000;000;1200;500
England;Middlesbrough South and East Cleveland;North East;Teesside;69967;3100;4900;700;800;000;000;000;500
England;Milton Keynes Central;South East;Buckinghamshire;76708;2700;4700;600;400;000;000;1200;400
England;Milton Keynes North;South East;Buckinghamshire;70620;2900;4800;500;500;000;000;1300;000
England;Mitcham and Morden;London;Merton;76877;1200;6100;1000;600;000;000;900;200
England;Morecambe and Lunesdale;North West;Lancashire;76040;2600;3600;1500;600;000;000;1800;000
England;New Forest East;South East;Hampshire;73823;2900;2200;1300;1000;000;000;2100;500
England;New Forest West;South East;Hampshire;71009;2900;2100;1400;1200;000;000;2100;400
England;Newark;East Midlands;Nottinghamshire;76478;2900;3100;900;800;000;000;2000;400
England;Newbury;South East;Berkshire;71631;2700;1100;3500;800;000;000;1500;400
England;Newcastle upon Tyne Central and West;North East;Newcastle area;76460;1200;6300;600;600;000;000;1100;200
England;Newcastle upon Tyne East and Wallsend;North East;Newcastle area;76875;1100;6200;1000;600;000;000;1000;200
England;Newcastle upon Tyne North;North East;Newcastle area;76503;1500;5000;1400;700;000;000;1200;200
England;Newcastle-under-Lyme;West Midlands;Staffordshire;70025;3600;4700;300;300;000;000;1100;000
England;Newton Abbot;South West;Devon;72956;2700;1800;2800;600;000;000;1600;500
England;Newton Aycliffe and Spennymoor;North East;Durham;71299;3200;5000;400;300;000;000;1000;100
England;Normanton and Hemsworth;Yorkshire and The Humber;West Yorkshire;75388;2700;5500;300;300;000;000;1300;000
England;North Bedfordshire;East of England;Bedfordshire;76319;3000;2800;1300;800;000;000;2100;000
England;North Cornwall;South West;Cornwall;75034;2900;1300;3300;500;000;000;1600;500
England;North Cotswolds;South West;Gloucestershire;70915;2700;2400;1600;1000;000;000;1900;400
England;North Devon;South West;Devon;76455;2700;1200;3300;700;000;000;1600;500
England;North Dorset;South West;Dorset;72109;3100;1500;2500;700;000;000;1800;400
England;North Durham;North East;Durham;73079;2600;5600;400;300;000;000;900;200
England;North East Cambridgeshire;East of England;Cambridgeshire;70806;3200;2400;600;800;000;000;2500;500
England;North East Derbyshire;East Midlands;Derbyshire;72344;3800;4400;400;300;000;000;1100;000
England;North East Hampshire;South East;Hampshire;73306;3000;1300;2700;700;000;000;1600;700
England;North East Hertfordshire;East of England;Hertfordshire;76849;2700;3200;1400;900;000;000;1800;000
England;North East Somerset and Hanham;South West;Bristol area;73113;3700;4000;900;500;000;000;800;100
England;North Herefordshire;West Midlands;Hereford and Worcestershire;70894;2800;2300;1200;1300;000;000;2000;400
England;North Norfolk;East of England;Norfolk;70719;3000;1200;3500;600;000;000;1800;000
England;North Northumberland;North East;Northumberland;72541;2600;3100;1500;800;000;000;1600;400
England;North Shropshire;West Midlands;Shropshire;77052;2700;2000;2600;700;000;000;1600;400
England;North Somerset;South West;Bristol area;73963;2400;3100;1500;900;000;000;1700;400
England;North Warwickshire and Bedworth;West Midlands;Warwickshire;70245;3000;3500;500;800;000;000;2200;000
England;North West Cambridgeshire;East of England;Cambridgeshire;73556;2700;3100;1000;1000;000;000;2300;000
England;North West Essex;East of England;Essex;76280;2800;2100;1800;900;000;000;2000;400
