Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Chatham and Aylesford;Kent;12;2100;1565;855;3189;1468;000;351;472;Reform
Cheadle;Eastern Manchester;4;2003;1289;3346;1348;1499;000;456;059;LIB
Chelmsford;Essex;9;2493;699;3114;1953;1235;000;090;415;LIB
Chelsea and Fulham;Hammersmith and Fulham;11;2831;2244;905;1676;1741;000;538;065;CON
Cheltenham;Gloucestershire;10;2687;551;3508;1524;1274;000;000;456;LIB
Chesham and Amersham;Buckinghamshire;12;2864;667;3116;1893;874;000;473;113;LIB
Cheshire Mid;Cheshire;4;1813;2570;764;2571;1548;000;000;735;Reform
Chester North and Neston;Cheshire;4;1829;2897;674;2064;2040;000;000;497;LAB
Chester South and Eddisbury;Cheshire;4;2858;2096;1157;2190;1092;000;000;606;CON
Chesterfield;Derbyshire;8;1659;2527;710;2725;1723;000;267;390;Reform
Chichester;West Sussex;12;2164;603;3323;2126;1046;000;000;738;LIB
Chingford and Woodford Green;Waltham Forest;11;2763;1584;562;1974;1249;000;000;1867;CON
Chippenham;Wiltshire;10;2212;605;3531;2047;1124;000;000;482;LIB
Chipping Barnet;Barnet;11;2815;2336;737;2052;1487;000;000;573;CON
Chorley;Lancashire;4;528;3649;362;2083;2327;000;000;1052;LAB
Christchurch;Dorset;10;2618;939;1586;3442;670;000;000;745;Reform
Cities of London and Westminster;City of Westminster;11;2603;2277;933;1317;1992;000;460;419;CON
Clacton;Essex;9;1944;776;731;5114;713;000;000;722;Reform
Clapham and Brixton Hill;Lambeth;11;898;2989;816;1143;3610;000;000;543;Green
Colchester;Essex;9;1869;2163;1199;2098;1874;000;000;796;LAB
Colne Valley;West Yorkshire;5;2204;2171;856;2387;1964;000;000;417;Reform
Congleton;Cheshire;4;2616;2347;701;2424;1119;000;000;794;CON
Corby and East Northamptonshire;Northamptonshire;8;2030;2218;902;2796;1648;000;000;405;Reform
Cornwall North;Cornwall;10;1952;471;3628;2657;838;000;000;452;LIB
Cornwall South East;Cornwall;10;1908;1669;1742;3110;1114;000;000;458;Reform
Cotswolds North;Gloucestershire;10;2758;1108;1868;2365;1161;000;000;741;CON
Cotswolds South;Gloucestershire;10;3060;663;2874;1919;821;000;000;663;CON
Coventry East;Coventry and Solihull;7;1326;2367;466;2799;1773;000;714;554;Reform
Coventry North West;Coventry and Solihull;7;1620;2484;670;2314;1890;000;000;1022;LAB
Coventry South;Coventry and Solihull;7;1969;2569;738;1754;1985;000;476;508;LAB
Cramlington and Killingworth;Newcastle area;3;1399;2807;572;2772;1636;000;000;814;LAB
Crawley;West Sussex;12;2019;1856;798;2684;1709;000;833;101;Reform
Crewe and Nantwich;Cheshire;4;1895;2522;682;2598;1498;000;248;557;Reform
Croydon East;Croydon;11;2098;2200;1002;1952;2180;000;000;568;LAB
Croydon South;Croydon;11;3175;2152;1049;1589;1350;000;534;151;CON
Croydon West;Croydon;11;1365;2699;609;1602;2868;000;416;441;Green
Dagenham and Rainham;Barking and Dagenham;11;1480;1854;413;3329;1892;000;000;1033;Reform
Darlington;Durham;3;2479;2085;495;2957;1421;000;000;563;Reform
Dartford;Kent;12;2759;1760;564;2710;1311;000;000;896;CON
Daventry;Northamptonshire;8;2832;1701;1063;2727;1127;000;000;550;CON
Derby North;Derbyshire;8;1914;2559;674;2099;2075;000;000;679;LAB
Derby South;Derbyshire;8;1218;2003;533;2899;1982;000;1292;072;Reform
Derbyshire Dales;Derbyshire;8;2850;2030;908;2408;1229;000;000;575;CON
Derbyshire Mid;Derbyshire;8;2617;2230;649;2471;1397;000;205;431;CON
Derbyshire North East;Derbyshire;8;2679;2080;551;3026;1117;000;000;548;Reform
Derbyshire South;Derbyshire;8;2144;2062;819;2900;1486;000;000;588;Reform
Devon Central;Devon;10;2663;1692;1280;2496;1179;000;000;689;CON
Devon North;Devon;10;2019;539;3225;2609;1060;000;000;548;LIB
Devon South;Devon;10;2533;678;2817;2329;876;000;000;767;LIB
Devon South West;Devon;10;2814;1548;946;2979;1013;000;000;700;Reform
Dewsbury and Batley;West Yorkshire;5;1103;1485;564;2082;2360;000;2407;000;MIN
Didcot and Wantage;Oxfordshire;12;2154;849;3074;2039;1419;000;000;464;LIB
Doncaster Central;South Yorkshire;5;1605;2510;562;2928;1591;000;406;397;Reform
Doncaster East and the Isle of Axholme;South Yorkshire;5;2539;2063;477;3315;996;000;000;610;Reform
Doncaster North;South Yorkshire;5;1594;2826;644;2090;1795;000;000;1050;LAB
Dorking and Horley;Surrey;12;2784;660;2647;2224;1025;000;000;659;CON
Dorset Mid and North Poole;Dorset;10;3068;623;3043;1938;837;000;000;491;CON
Dorset North;Dorset;10;2676;730;2432;2675;754;000;000;733;CON
Dorset South;Dorset;10;2128;1476;1664;2842;1296;000;000;595;Reform
Dorset West;Dorset;10;2689;565;3567;1830;849;000;000;501;LIB
Dover and Deal;Kent;12;1789;2118;762;2913;1314;000;077;1028;Reform
Droitwich and Evesham;Hereford and Worcestershire;7;2727;1228;1058;3164;1042;000;000;780;Reform
Dudley;Black Country;7;2010;1436;659;3798;1209;000;342;547;Reform
Dulwich and West Norwood;Lambeth;11;809;3216;595;1158;3715;000;000;507;Green
Dunstable and Leighton Buzzard;Bedfordshire;9;2725;1523;1061;2928;1088;000;000;676;Reform
Durham North;Durham;3;1154;2287;872;3426;1541;000;536;185;Reform
Durham, City of;Durham;3;1100;2449;1111;2409;2322;000;000;608;LAB
Ealing Central and Acton;Ealing;11;1455;2517;978;1275;2870;000;645;260;Green
Ealing North;Ealing;11;1491;2526;550;1852;2335;000;1008;237;LAB
Ealing Southall;Ealing;11;1391;2657;595;1282;2524;000;961;589;LAB
Earley and Woodley;Berkshire;12;2962;2015;1328;1553;1603;000;000;539;CON
Easington;Durham;3;874;2589;468;3813;1432;000;000;824;Reform
East Grinstead and Uckfield;West Sussex;12;2490;1295;1680;2076;1519;000;000;940;CON
East Ham;Newham;11;957;2453;410;1091;3346;000;000;1742;Green
Eastbourne;East Sussex;12;2006;677;3569;1851;1092;000;000;805;LIB
Eastleigh;Hampshire;12;2823;905;2269;2315;1070;000;000;618;CON
Edmonton and Winchmore Hill;Enfield;11;1461;2624;634;1788;2374;000;274;846;LAB
Ellesmere Port and Bromborough;Cheshire;4;973;2904;584;2754;2094;000;000;690;LAB
Eltham and Chislehurst;Greenwich;11;2101;2402;716;2134;1778;000;334;535;LAB
Ely and East Cambridgeshire;Cambridgeshire;9;2789;1132;2173;2102;1055;000;000;749;CON
Enfield North;Enfield;11;1644;2640;675;1762;2263;000;321;695;LAB
Epping Forest;Essex;9;3066;1446;1187;2272;1126;000;000;903;CON
Epsom and Ewell;Surrey;12;2763;1000;2418;2258;991;000;000;569;CON
Erewash;Derbyshire;8;1961;2315;696;2699;1567;000;000;760;Reform
Erith and Thamesmead;Greenwich;11;1243;2677;451;2379;2332;000;773;144;LAB
Esher and Walton;Surrey;12;2315;543;4061;1649;1051;000;000;380;LIB
Essex North West;Essex;9;2666;1661;1199;2794;1037;000;000;644;Reform
