Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Exeter;Devon;10;1108;2194;759;2246;2852;000;000;841;Green
Exmouth and Exeter East;Devon;10;2142;1487;1949;2479;1341;000;000;601;Reform
Fareham and Waterlooville;Hampshire;12;2660;1296;1597;2833;896;000;000;718;Reform
Farnham and Bordon;Surrey;12;2666;932;2475;2528;926;000;000;473;CON
Faversham and Mid Kent;Kent;12;2522;1403;756;3322;1233;000;000;763;Reform
Feltham and Heston;Hounslow;11;1937;2114;558;1850;1952;000;691;897;LAB
Filton and Bradley Stoke;Bristol area;10;2074;2546;923;1737;1918;000;000;802;LAB
Finchley and Golders Green;Barnet;11;2597;2489;877;1659;1718;000;000;660;CON
Folkestone and Hythe;Kent;12;1769;1786;626;3203;1598;000;000;1018;Reform
Forest of Dean;Gloucestershire;10;2297;1670;600;3332;1403;000;000;699;Reform
Frome and East Somerset;Somerset;10;1732;1028;2435;2101;1786;000;000;918;LIB
Fylde;Lancashire;4;2791;1940;633;2667;937;000;000;1032;CON
Gainsborough;Lincolnshire;8;2760;1462;1094;3279;914;000;000;491;Reform
Gateshead Central and Whickham;Newcastle area;3;1120;2413;975;2762;1931;000;000;801;Reform
Gedling;Nottinghamshire;8;1909;2720;671;2316;1799;000;000;585;LAB
Gillingham and Rainham;Kent;12;2080;1811;866;2976;1501;000;000;767;Reform
Glastonbury and Somerton;Somerset;10;2170;549;3359;2352;1064;000;000;506;LIB
Gloucester;Gloucestershire;10;2161;1619;1245;2618;1605;000;406;346;Reform
Godalming and Ash;Surrey;12;3239;519;2954;2078;725;000;000;487;CON
Goole and Pocklington;Humber area;5;2827;1659;897;3123;1011;000;000;483;Reform
Gorton and Denton;Central Manchester;4;784;2579;440;2203;3047;000;947;000;Green
Gosport;Hampshire;12;3011;1256;990;3125;881;000;000;736;Reform
Grantham and Bourne;Lincolnshire;8;2626;1466;699;3465;1014;000;000;730;Reform
Gravesham;Kent;12;2694;1821;489;3084;1066;000;000;846;Reform
Great Grimsby and Cleethorpes;Humber area;5;1718;2062;555;3453;1354;000;000;859;Reform
Great Yarmouth;Norfolk;9;1905;1618;552;3627;1002;000;000;1296;Reform
Greenwich and Woolwich;Greenwich;11;1058;2913;655;1534;3097;000;401;341;Green
Guildford;Surrey;12;2271;666;3608;1629;1421;000;000;405;LIB
Hackney North and Stoke Newington;Hackney;11;708;2909;451;1062;4158;000;000;712;Green
Hackney South and Shoreditch;Hackney;11;581;2868;418;1103;4417;000;468;144;Green
Halesowen;Black Country;7;2045;1770;935;3006;1507;000;000;736;Reform
Halifax;West Yorkshire;5;1371;1955;586;2809;2105;000;764;410;Reform
Hamble Valley;Hampshire;12;2863;984;2106;2544;919;000;000;584;CON
Hammersmith and Chiswick;Hammersmith and Fulham;11;1443;2942;793;1319;2672;000;247;584;LAB
Hampshire East;Hampshire;12;2806;768;2521;2401;893;000;000;611;CON
Hampshire North East;Hampshire;12;2801;714;2768;2455;766;000;000;496;CON
Hampshire North West;Hampshire;12;2714;1512;1406;2572;1115;000;000;681;CON
Hampstead and Highgate;Camden;11;1385;2629;1019;1190;3016;000;000;761;Green
Harborough, Oadby and Wigston;Leicestershire;8;3018;1737;1092;2147;1562;000;000;444;CON
Harlow;Essex;9;2601;1796;493;3122;1093;000;000;893;Reform
